data_atualizacao,titulo,conteudo,sentimento
02/05/2017,Justiça libera venda de área no pré-sal da Petrobras à StatoilVenda no valor de US$125 bilhão foi anunciada em julho de 2016 como parte do plano de redução de endividamento da estatal; FNP acusa Petrobras de realizar venda sem licitação.,A Petrobras informou nesta terça-feira (2) que foi suspensa a liminar que determinava a paralisação da venda de 66% da companhia no bloco BM-S-8 onde está o prospecto de Carcará no pré-sal da Bacia dos Santos à petrolífera norueguesa Statoil. A decisão favorável do presidente do Tribunal Regional Federal da 5ª região libera a exploração do local pela norueguesa.O acordo foi suspenso em abril depois que a 2ª Vara Federal da Justiça de Sergipe acatou uma ação popular da Federação Nacional dos Petroleiros (FNP) que discorda da decisão da Petrobras em realizar a venda do pré-sal sem licitação.Como empresa mista ela obrigatoriamente tem que fazer licitação para vender qualquer um de seus ativos. Caso contrário a ação é caracterizada como ilegal ou até mesmo ato de lesa-pátria uma vez que a venda traria prejuízos econômicos e ambientais imensuráveis para o Brasil afirmou a FNP em nota naquela ocasião.Anunciada em julho do ano passado após a aprovação do Conselho Administrativo de Defesa Econômica (Cade) e da Agência Nacional do Petróleo Gás Natural e Biocombustíveis (ANP) a operação foi concluída em novembro mediante ao pagamento de US$ 125 bilhão correspondente a 50% do valor total da transação.,1
02/05/2017,Presidente da Petrobras diz que preço do petróleo não ameaça venda de ativos Plano da Petrobras é de desinvestir até US$ 21 bilhões em ativos até o ano que vem.,O fraco desempenho dos preços do petróleo neste ano não deverá prejudicar o plano da Petrobras de desinvestir até US$ 21 bilhões em ativos ou de achar parceiros para exploração e refino até o fim do próximo ano disse o presidente da companhia Pedro Parente nesta terça-feira.Ao falar na conferência OTC em Houston nos EUA uma das mais importantes do segmento no mundo Parente disse que a Petrobras já fez dinheiro em um ambiente de preços do petróleo instáveis o que poderia atrair parceiros para certos negócios ou projetos.Parente continua confiante de que a Petrobras será capaz de desinvestir ativos em segmentos desde a exploração e produção de petróleo até distribuição de combustíveis alcançando a meta de vendas de ativos e parcerias estabelecida para o fim de 2018.Só conseguimos melhorar tendo parceiros para nos ajudar a ter mais benefícios... Não vejo por que o atual ambiente de preços poderia criar riscos para nosso plano de desinvestimento disse ele no evento.Seus comentários buscaram afastar preocupações de que um mercado de petróleo volátil poderia adiar ou frustrar planos para reduzir o tamanho da Petrobras a petroleira mais endividada do mundo.Após começar o ano em um rali os preços do petróleo têm caído à medida que a crescente produção dos Estados Unidos e em outros lugares tem de certa forma compensado os cortes de produção da Arábia Saudita e de outros grandes exportadores de petróleo que buscam reduzir um excedente global do produto.,1
03/05/2017,Decreto regulamenta direito de preferência da Petrobras em leilões no pré-salEstatal deverá manifestar seu interesse em participar como operadora nos consórcios em até 30 dias após a publicação dos parâmetros de cada leilão.,Um decreto publicado no Diário Oficial da União nesta quarta-feira (3) regulamenta o direito de preferência da Petrobras para atuar como operadora nos consórcios de exploração de blocos de petróleo no pré-sal contratados sob o regime de partilha da produção.A medida era aguardada pelo mercado para dar mais clareza aos.A Petrobras deverá manifestar seu interesse em participar como operadora nos consórcios formados para exploração de blocos sob o regime de partilha no prazo de 30 dias contado da data de publicação pelo Conselho Nacional de Política Energética (CNPE) dos parâmetros técnicos de cada leilão.No caso da 3ª Rodada de licitações do pré-sal por exemplo essa publicação do CNPE ocorreu em 27 de abril antes mesmo da regulamentação das regras de participação da Petrobras.O decreto desta quarta-feira determina que a Petrobras deverá se manifestar especificando os blocos em que tem interesse e o percentual de participação que pretende nunca abaixo de 30%.Contudo caberá ao CNPE estabelecer o percentual de participação da Petrobras considerados os percentuais entre o mínimo de trinta por cento e aquele indicado na manifestação da empresa.Na hipótese de a Petrobras não exercer seu direito de preferência os blocos serão objeto de licitação da qual a Petrobras poderá participar em condições de igualdade com os demais licitantes determinou o decreto.Na avaliação do Instituto Brasileiro de Petróleo Gás e Biocombustíveis (IBP) o decreto gera incertezas afeta a atração de investimentos e prejudica a livre competição. Em nota a entidade que representa as petroleiras no Brasil reprovou a medida do governo que incluiu um dispositivo que permite que a empresa desista de áreas do pré-sal ainda durante leilões nas disputas onde a petroleira exerceu o seu direito de preferência para ser a operadora.Na prática a regulamentação avança em um processo iniciado no governo do presidente Michel Temer em que houve.Até agora -- a Petrobras era a única empresa autorizada a operar a produção de petróleo no pré-sal obrigando a participação da companhia em qualquer empreendimento no setor.Com a recente mudança na legislação a Petrobras recebeu direito de preferência dando à direção da companhia a flexibilidade de não comprometer-se com os altos investimentos necessários para a exploração em águas ultraprofundas caso estime que haverá um impacto muito grande em seu caixa.A Petrobras é uma das petroleiras mais endividadas do mundo e sua nova diretoria sob o comando de Pedro Parente tem feito esforços para enxugar custos e vender ativos para aumentar a saúde financeira da empresa.,-1
08/05/2017,Representante da Petrobras na Bolívia está em prisão domiciliar; estatal vai recorrerDisputa na Justiça no valor de R$ 25 milhões envolve contrato de prestação de serviços ao bloco de petróleo San Antonio.,O representante local da Petrobras da Bolívia está em prisão domiciliar confirmou a estatal nesta segunda-feira (8). O motivo é uma disputa sobre pagamento a um fornecedor da empresa no país vizinho. Segundo a agência Reuters a mídia local disse que o representante legal é o diretor da Petrobras na Bolívia Marcos Antunes.Em nota enviada ao a Petrobras diz que “o valor em disputa alcança aproximadamente US$ 25 milhões sendo que o valor total estimado do contrato era de aproximadamente US$ 95 milhões.” O contrato envolve a prestação de serviços ao bloco de petróleo San Antonio.Segundo a Reuters um advogado da fornecedora Vialco SRL disse ao jornal boliviano El Deber que a Petrobras deve à companhia mais de US$ 25 milhões. A Petrobras nega. A Petrobras Bolívia sustenta que o contrato prevê o pagamento apenas por serviços executados medidos e aprovados. A prestação dos serviços já foi encerrada diz em nota.O representante da Petrobras na Bolívia está em prisão domiciliar em Santa Cruz desde 22 de março. No dia 2 de maio um tribunal local negou um pedido para prendê-lo.Veja abaixo a íntegra da nota da Petrobras:,-1
08/05/2017,Justiça extingue ação contra venda da BR Distribuidora pela PetrobrasAção popular que buscava suspender o processo de venda da subsidiária de combustíveis da petroleira.,A Justiça Federal de Sergipe atendeu a pedido da Petrobras e extinguiu sem julgamento de mérito uma ação popular que buscava suspender o processo de venda da subsidiária de combustíveis da petroleira BR Distribuidora informou a companhia em comunicado ao mercado nesta segunda-feira (8).O pedido de extinção da ação segundo a Petrobras foi feito com base na decisão do Tribunal de Contas da União (TCU) queda companhia determinando que seja aplicada uma sistemática revisada aos projetos de desinvestimentos.Em 15 de março o TCU revogou com ressalvas uma medida cautelar que suspendia a venda de ativos da Petrobras mas obrigou a maior parte dos processos inclusive o da BR Distribuidora a voltar à estaca zero.Naquela decisão o TCU chegou a liberar o prosseguimento da venda de Tartaruga Verde (fatia de 50%) Baúna (100%) e dos ativos em águas profundas do Golfo do México no estágio em que se encontravam mas agora a Petrobras indicou que eles deverão também ser vendidos em um processo totalmente novo.Reportagem da Reuters na quarta-feira mostrou que a Petrobras informou à Justiça que a australiana Woodside Petroleum que seria parceira da Karoon na tentativa de adquirir os ativos em Tartaruga Verde e Baúna teria desistido do processo devido à demora para concluir a venda ampliada por dificuldades relacionadas a infundado questionamento judicial.Já no caso do campo de Saint Malo a petroleira disse nesta sexta-feira que a venda não terá prosseguimento em razão do processo não ter alcançado os resultados esperados sem dar outros detalhes.,1
09/05/2017,Petrobras diz que ainda não escolheu modelo de venda da BR DistribuidoraEm comunicado estatal informa que está analisando o reinício de um novo processo de desinvestimento.,A Petrobras informou nesta terça-feira (9) em comunicado que não há nenhuma deliberação de sua diretoria executiva ou Conselho de Administração sobre o modelo de venda da unidade de combustíveis a BR Distribuidora.O comentário da petroleira foi divulgado após reportagem do jornal O Estado de S. Paulo dizer que a Petrobras voltou a cogitar a hipótese de uma abertura de capital da BR Distribuidora como forma de levantar recursos sem vender o controle da companhia a um sócio.A reportagem que não cita fontes disse que a proposta foi apresentada por diretores da Petrobras como uma alternativa.No comunicado ao mercado sobre a BR Distribuidora a Petrobras disse que está analisando o reinício de um novo processo de desinvestimento de sua participação na empresa seguindo procedimentos de uma sistemática para vendas de ativos que foi revisada e aprovada pela diretoria e está alinhada às orientações do Tribunal de Contas da União.,0
10/05/2017,Bovespa tem forte alta puxada por aprovação de reforma e PetrobrasNa véspera índice fechou em alta de 115% aos 66.277 pontos.,O principal índice da bolsa paulista opera em alta nesta quarta-feira (10) com o mercado otimista após conclusão da votação da reforma da Previdência em e tendo como pano de fundo a notícia de que a Petrobras.Às 16h o Ibovespa subia 129% a 67.242 pontos.As ações da Petrobras avançavam quase 4% nas preferenciais e pertyo de 3% nas ordinárias após a estatal informar que incluiu em sua bilionária carteira de venda ativos a. que detém ativos na África.O objetivo da Petrobras é obter US$ 21 bilhões em parcerias e desinvestimentos no biênio 2017/2018 mesma meta anterior à inclusão de Pasadena e dos ativos da África no plano. A empresa não informou se alguma unidade que estava à venda deixou de integrar tal portfólio.Após a conclusão na véspera da votação da reforma da Previdência na comissão especial que rejeitou a maioria dos destaques a matéria segue agora para apreciação no plenário onde terá de ser aprovada em dois turnos de votação por três quintos dos deputados.Também ajudando o tom positivo do mercado acionário estava a desaceleração da inflação no Brasil que foi de 408% nos 12 meses até abril ante 457% no mês anterior. Os dados corroboram a manutenção dos cortes da taxa básica de juros e levam alguns agentes de mercado a considerar inclusive uma aceleração no ritmo de reduções.Na véspera o Ibovespa fechou em alta de 115% aos 66.277 pontos influenciado pelo noticiário corporativo local tendo as ações da EcoRodovias e da Copel entre os destaques positivos e com investidores monitorando a votação dos destaques à reforma da Previdência em comissão da Câmara dos Deputados.,1
10/05/2017,Petrobras coloca refinaria de Pasadena na lista de ativos à vendaCompra da refinaria americana em 2006 levantou suspeitas de superfaturamento; Petrobras tem plano de vender US$ 21 bilhões em ativos em 2017 e 2018 para reduzir dívidas.,A Petrobras incluiu na sua carteira de ativos à venda a refinaria de Pasadena nos Estados Unidos e a Petrobras Oil & Gas B.V. que detém ativos na África informou nesta quarta-feira a petroleira estatal em um comunicado ao mercado.O objetivo da Petrobras é obter US$ 21 bilhões em parcerias e desinvestimentos no biênio 2017/2018 mesma meta anterior à inclusão de Pasadena e dos ativos da África no plano. A empresa não informou se algum unidade que estava à venda deixou de integrar tal portfólio.A Petrobras esclarece que o seu programa de desinvestimentos é dinâmico e poderá ser alterado devido às condições de mercado e às sucessivas análises do portfólio frisou a empresa em seu comunicado.A compra da refinaria de Pasadena pela Petrobras em 2006.A Petrobras comprou em 2006 uma participação de 50% na refinaria de Pasadena por US$ 360 milhões. O valor é muito superior ao pago um ano antes pela belga Astra Oil pela refinaria inteira: US$ 425 milhões.Nos anos seguintes a Petrobras se desentendeu com a sua sócia nesse negócio a Astra Oil e uma decisão judicial a obrigou a comprar a participação da empresa belga. A compra de Pasadena acabou custando US$ 118 bilhão a Petrobras um valor muito superior ao que a sua sócia pagou.O caso ganhou notoriedade no noticiário político porque a compra foi realizada quando a ex-presidente da República Dilma Rousseff era presidente do conselho da Petrobras.A Petrobras tem plano de vender US$ 21 bilhões em ativos em 2017 e 2018. A lista do que está à venda não foi divulgada pela estatal mas o diretor financeiro da estatal Ivan Monteiro disse em janeiro que.Após a divulgação da Petrobras de que Pasadena está à venda as aA publicação da intenção de venda de ambos os ativos pela Petrobras cumpre decisão recente do Tribunal de Contas da União (TCU) que demandou uma maior transparência por parte da estatal na busca por compradores e parceiros para seus ativos.A partir da nova sistemática aprovada pelo TCU a Petrobras deve publicar a sua intenção de vender ativos assim que ela é aprovada pela diretoria executiva.Além disso posteriormente deve publicar documentos com informações sobre os ativos envolvidos o modelo de negócio e os critérios de seleção de potenciais interessados destacou a Petrobras.Em março a empresa apontou que deveriam entrar na nova carteira de desinvestimentos a venda de participação na BR Distribuidora; a venda da concessão dos campos de Baúna e Tartaruga Verde; a venda de participação no campo de Saint Malo no Golfo do México; a cessão de concessões em águas rasas nos Estados de Sergipe e Ceará e a cessão de um conjunto de campos terrestres.,-1
11/05/2017,Petrobras tem lucro de R$ 445 bi no 1º trimestre melhor resultado desde 2015Trata-se do segundo lucro trimestral seguido e o melhor resultado desde o 1º trimestre de 2015; endividamento líquido recua para R$ 3009 bilhões.,A Petrobras registrou lucro de R$ 445 bilhões no 1º trimestre revertendo informou a estatal nesta quinta-feira (11). Trata-se do segundo lucro trimestral seguido e o melhor resultado desde o 1º trimestre de 2015.O resultado positivo veio acima das previsões de analistas compiladas pela Reuters que apontavam um lucro de R$ 3773 bilhões no período.O presidente Petrobras Pedro Parente afirmou em coletiva de imprensa realizada após a divulgação do balanço que o desempenho atingido pela companhia no primeiro trimestre de 2017 resulta de uma conjunção de redução nos gastos aumento da produtividade e manuetenção da curva de produção.O controle de custos e a redução de gastos respondem por esse resultado afirmou Parente em entrevista coletiva na sede da empresa no Centro do Rio. Ele destacou que o único dado negativo é a queda de 5% nas vendas de derivados de petróleo causadas pela retração do mercado e pela forte concorrência.O resultado do 1º trimestre também superou o dos 3 meses anteriores. A Petrobras acumulou em 2016 entretanto no 3º ano seguido de perdas.A estatal atribuiu o resultado do 1º trimestre à redução de gastos com importações do petróleo e gás e pelo aumento de 72% das exportações. Segundo a petroleira as despesas administrativas e com vendas 27% menores também ajudaram o resultado.A receita da companhia somou R$ 6836 bilhões no trimestre queda de 3% ante o faturamento de R$ 7034 bilhões do mesmo intervalo de 2016.A produção média de petróleo da companhia no Brasil no 1º trimestre foi de 2.182 mil barris por dia (bpd) 10% acima do registrado 1 ano antes. Já a produção total de petróleo da Petrobras nos 3 primeiros meses do ano subiu 9% em comparação com o mesmo período do ano anterior.O resultado operacional medido pelo Ebitda (lucro antes de juros impostos amortização e depreciação) ajustado somou R$ 25254 bilhões ante R$ 21193 bilhões no mesmo período do ano passado.Parente ressaltou que o resultado do primeiro trimestre trouxe o maior Ebitda trimestral da história da Petrobras com resultado é 19% superior ao do mesmo período de 2016 com margem de 37%.No final de março a dívida líquida da Petrobras somou R$ 3009 bilhões o que representa queda de 4% ante os R$ 3141 bilhões do final de 2016.No balanço a Petrobras destacou que o fluxo de caixa livre ficou positivo pelo 8º trimestre consecutivo atingindo R$ 1337 bilhões mais de 5 vezes maior o registrado 1 ano antes. Esse resultado reflete a combinação entre a melhora expressiva da geração operacional da empresa e a redução de investimentos informou.No balanço a Petrobras destacou que o fluxo de caixa livre ficou positivo pelo 8º trimestre consecutivo atingindo R$ 1337 bilhões mais de 5 vezes maior o registrado 1 ano antes.Esse resultado reflete a combinação entre a melhora expressiva da geração operacional da empresa e a redução de investimentos informou.A estatal apontou uma expressiva redução de despesas. Os custos de produtos vendidos foram de R$ 445 bilhões valor 6% inferior ao quarto trimestre refletindo menos gastos com atividades no exterior com a produção de petróleo e a importação de gás natural diz a estatal.As despesas tributárias também caíram em 66% em função principalmente das menores despesas de imposto de renda sobre remessa ao exterior e pelo efeito da adesão aos programas de anistia estadual de débitos de ICMS no quarto trimestre diz a Petrobras.Outras despesas operacionais recuaram 61% para R$ 3.895 milhões em relação ao trimestre anterior. As despesas financeiras contudo subiram 46% para R$ 77 bilhões. Segundo a petroleira o resultado foi puxado por variações no câmbio.Segundo o diretor financeiro Ivan Monteiro a redução de 17% nos custos com pessoal de 18% nos custos operacionais e de 27% nas despesas gerais mostra que a Petrobras está entregando tudo aquilo com o que se comprometeu ao apresentar seu plano de negócios impactando o bom resultado do trimestre.Nossa percepção é de que com os resultados que estamos entregando o interesse pelos próximos leilões de blocos de exploração é enorme como pudemos verificar em recentes visitas a Tóquio e a Pequim. Hoje a Petrobras tem à disposição todas as fontes de financiamento disponíveis no mercado: capitais agências de fomento bancos nacionais e estrangeiros. E vamos utilizá-las de acordo com o melhor interesse da companhia explicou Monteiro na entrevista coletiva após a divulgação do balanço lembrando que a venda do gasoduto NTS por R$ 67 bilhões já representa uma expectativa de resultado positivo no segundo trimestre.As. No ano os papeis acumulam queda ao redor de 1% após terem acumulado ganhos de 121% no ano passado.A petroleira segue como a 3ª maior em valor de mercado na Bovespa com os papéis avaliados em cerca de R$ 196 bilhões. A máxima histórica foi registrada no dia 21 de maio de 2008 quando a estatal atingiu na Bovespa valor de mercado de R$ 5103 bilhões segundo a Economatica.As despesas de vendas caíram 22% a R$ 23 bilhões refletindo cortes de pessoal principalmente “pelo impacto dos desligamentos de empregados pelo plano de incentivo ao desligamento voluntário”.A empresa informou também no balanço que o número de empregados no final de março totalizou 65.220 trabalhadores o que corresponde a uma queda de 17% em comparação ao final de março de 2016 em decorrência do plano de demissão voluntária (PDV).O presidente da Petrobras citou a redução nos quadros de pessoal da empresa como fator siginificativo para o bom resultado do trimestre.Em meio à crise detonada pela Lava Jato e pela queda dos preços internacionais do petróleo o endividamento líquido da Petrobras passou de um patamar de R$ 100 bilhões no final de 2011 e chegou a R$ 392 bilhões no final de 2015.Para melhorar suas finanças a estatal cortou investimentos e iniciou um programa de venda de ativos. O plano de negócios da Petrobras prevê arrecadar mais US$ 21 bilhões com a venda de ativos (os chamados desinvestimentos) e parcerias entre 2017 e 2018. Até março o valor total de transações já assinadas somava US$ 136 bilhões.Nesta semana a Petrobras anunciou que que em 2006 levantou suspeitas de superfaturamento e de evasão de dividas além da Petrobras Oil & Gas B.V. que detém ativos na África.Em março a empresa apontou que deveriam também ser colocadas à venda a sua participação na BR Distribuidora; a concessão dos campos de Baúna e Tartaruga Verde; a participação no campo de Saint Malo no Golfo do México; a cessão de concessões em águas rasas nos Estados de Sergipe e Ceará e a cessão de um conjunto de campos terrestres.Em comunicado nesta quinta-feira a estatal informou que vai contabilizar para o 2º trimestre o recebimento de R$ 67 bilhões pela venda de 90% das ações da unidade de gasodutos Nova Transportadora do Sudeste (NTS).Sobre o plano de desinvestimentos Parente disse que os critérios para venda ainda serão definidos e apresentados à diretoria para só então levar esses e outros ativos como itens da empresa na África Pasadena (EUA) e a BR Distribuidora ao mercado. Cada ativo terá seu modelo de venda definido. Após essa definição apresentaremos ao mercado um fato relevante específico para cada ativo. E isso será feito o mais rapidamente possível. Se o resultado melhora sem aquele ativo faz todo o sentido vender.Diretor de governança da petrolífera João Elek reforçou o compromisso da empresa em colaborar com investigações de corrupção como as da operação Lava-Jato e disse que as apurações internas já levaram à aplicação de 594 sanções diversas e à demissão de 37 funcionários por envolvimento em malfeitos. O diretor ressaltou que não há nenhum fato concreto que desabone o ex-presidente da Petrobras Aldemir Bendine que teve o nome citado por delatores da Lava-Jato.Elek explicou que os critérios para suspender o bloqueio a empresas envolvidas em escândalos de desvios de dinheiro público e operações ruinosas para a Petrobras já estão em vigor. Temos como exigências principais a celebração de acordo de leniência com o poder público e o compromisso com uma série de boas práticas de governança. Já há acertos em andamento para retirar algumas empresas dessa lista negra.,1
11/05/2017,Bovespa fecha em alta à espera de balanço da PetrobrasNoticiário corporativo marcou movimentação do dia; índice subiu 028% aos 67.537 pontos.,O principal índice da bolsa paulista fechou em alta nesta quinta-feira (11) em meio ao intenso noticiário corporativo com o mercado à espera da divulgação do balanço da Petrobras referente ao primeiro trimestre.O Ibovespa subiu 028% a 67.537 pontos renovando o maior patamar desde fevereiro.Nos dois pregões anteriores o índice acumulou ganhos de 278% e voltou acima dos 67 mil pontos o que abria espaço para algum movimento de ajuste favorecendo as oscilações no pregão.As ações preferenciais da Petrobras tiveram leve alta ao redor de 04%. A estatal deve divulgar após o fechamento do pregão o balanço do primeiro trimestre.Já as preferenciais da Vale recuaram mais de 1% em sessão marcada por perdas nos contratos futuros do minério de ferro na China. A mineradora informou nesta quinta-feira que recebeu da sua controladora Valepar com o objetivo de transformar a empresa numa sociedade sem controle definido.Banco do Brasil ficou entre os destaques positivos com alta de mais de 3% apósno primeiro trimestre de 2017. O resultado é 36% acima dos R$ 2359 bilhões obtidos no mesmo período do ano passado.As ações do Itaú subiram quase 2% após confirmar na véspera que. Em resposta a questionamento da CVM o banco reafirmou que até o presente momento não assinou qualquer acordo transação ou contrato de compra e venda com a XP Investimentos.Eletrobras liderOU as altas do índice com valorização de mais de 8% diante de informações recentes de que o governo quer reformas para o setor elétrico.Na véspera o Ibovespa avançou 162% a 67.349 pontos maior patamar de fechamento desde 23 de fevereiro quando encerrou a 67.461.,1
