data_atualizacao,titulo,conteudo,sentimento
03/07/2017,Petrobras eleva preço da gasolina em 18%; valor do diesel sobe 27%Esse é o primeiro ajuste após a petroleira anunciar na sexta-feira (30) que ajuste nos preços poderá ser feito diariamente.,A Petrobras decidiu nesta segunda-feira aumentar o preço médio do diesel nas refinarias em 27% e elevar o da gasolina em 18% a partir de terça-feira (4) informou a petroleira.A empresa não detalhou os motivos para o movimento. O ajuste é o primeiro após a revisão feita em sua política de preços na semana passada que busca aumentar a frequência de reajustes em uma tentativa de retomar participação de mercado. A partir de agora segundo a estatal os.Na sexta-feira (30) a Petrobras revisou sua política de preços do diesel e da gasolina dando certa liberdade para que a área de marketing e comercialização da empresa reajuste as cotações na refinaria de forma mais frequente inclusive diariamente em busca de maior competitividade e com o objetivo principal de recuperar receita e participação de mercado – devido ao aumento das importações de combustíveis.Os ajustes de preços de combustíveis passarão a ser divulgados através do sitee nos canais internos de comunicação aos clientes.A partir da nova orientação a área técnica de marketing e comercialização da Petrobras poderá realizar ajustes sempre que achar necessário dentro de uma faixa determinada de redução de 7% a alta de 7% sobre os preços vigentes dos derivados nas refinarias. na 3ª redução de preços nas refinarias em menos de 40 dias. O último corte tinha sido anunciado no dia 14 de junho. Na ocasião o valor da gasolina foi reduzido em 23% e o do diesel em 58%.Na semana passada o valor médio da gasolina no Brasil caiu pela 7ª vez seguida. Segundo dados divulgados nesta sexta-feira (30) pela Agência Nacional de Petróleo o valor por litro foi de R$ 3542 para R$ 351 - o menor valor desde outubro de 2015.,0
04/07/2017,Petrobras reduz preço do gás de cozinha em 45%Estatal passou a fazer revisões mensais no preço do produto.,A Petrobras informou nesta terça-feira que reduzirá o preço do gás de cozinha para uso residencial em 45% a partir desta quarta-feira (5).A estatal estima que se for integralmente repassado aos preços ao consumidor o preço do botijão de 13 kg pode ser reduzido em média em 15% ou cerca de 088 real por botijão.A redução não se aplica ao GLP destinado a uso industrial/comercial que na véspera foi reduzido em 5% nas embalagens acima de 13 kg.No mês passado o.Pela nova política de preços adotada pela Petrobras o preço do Gás Liquefeito de Petróleo (GLP) os preços serão revisados todos os meses.Segundo a estatal o preço final às distribuidoras será formado pela média mensal dos preços do butano e do propano no mercado europeu convertida em reais pela média diária das cotações de venda do dólar mais uma margem de 5% informou a Petrobras.,0
04/07/2017,Petrobras e chinesa CNPC assinam memorando para parceria estratégicaPlano de negócios da Petrobras 2017-2021 tem como pilar a realização de parcerias para compartilhar riscos e aumentar a capacidade de investimentos.,A Petrobras e a chinesa CNPC assinaram nesta terça-feira (4) um acordo para negociar parcerias informou a petroleira brasileira em um comunicado. As empresas vão avaliar em conjunto oportunidades no Brasil e no exterior.A partir desse memorando de entendimento as empresas se comprometem a avaliar conjuntamente oportunidades no Brasil e no exterior em áreas-chaves de interesse mútuo disse a Petrobras no comunicado.No jargão do mercado uma parceria estratégica é algo mais profundo do que um mero acordo comercial. É uma aliança essencial para viabilizar um negócio na qual as empresas compartilham riscos e investimentos. Em alguns casos essas parcerias podem envolver investimento em participações de uma empresa na outra.O plano de negócios da Petrobras para o período entre 2017 e 2021 tem como meta a realização de parcerias como forma de compartilhar riscos de aumentar a capacidade de investimentos além de promover intercâmbio tecnológico e fortalecimento da governança corporativa destacou a estatal.Desde 2013 a Petrobras e a CNPC são parceiras na área de Libra considerada pelo governo brasileiro a área em exploração mais promissora do Brasil no pré-sal da Bacia de Santos.,1
06/07/2017,Petrobras inicia processo para venda de fatia em Campo de MarombaA petrolífera estatal detém 70% do campo ao passo que a Chevron detém os 30% restantes. Ambas estão oferecendo conjuntamente suas fatias.,A Petrobras informou ter iniciado o processo de divulgação da oportunidade de venda (teaser) da totalidade de sua participação no Campo de Maromba localizado na Bacia de Campos.A petrolífera estatal detém 70% do campo ao passo que a Chevron detém os 30% restantes. Ambas estão oferecendo conjuntamente suas fatias.A transação em potencial representa uma oportunidade para desenvolver e monetizar uma descoberta de óleo pesado em águas rasas próxima aos campos em produção de Peregrino e Papa-Terra disse a empresa em fato relevante.Não foram informadas expectativas financeiras em relação a uma possível venda.,0
07/07/2017,Ações contra a Petrobras nos EUA precisam de mudanças diz tribunalJuiz deve redefinir quais investidores podem processar a petroleira para reaver supostas perdas ligadas à corrupção.,Um juiz dos EUA deve redefinir quais grupos de investidores podem processar a Petrobras na tentativa de recuperar bilhões de dólares de supostas perdas ligadas ao escândalo de corrupção que envolveu a petroleira no Brasil afirmou nesta sexta-feira (7) um tribunal de recursos norte-americano.Entretanto o 2º Tribunal de Apelações do Circuito dos EUA em Manhattan rejeitou o pedido da Petrobras de que ele imponha um padrão mais difícil para os investidores nas ações antes de provarem que foram lesados.Jeremy Lieberman um advogado dos investidores afirmou em um comunicado que estava muito satisfeito com a decisão que em sua avaliação abriu caminho para que seus clientes busquem uma data de julgamento. O litígio foi suspenso na pendência da resolução do recurso.Em nota a Petrobras destacou que a Corte Federal de Apelações em Nova York acolheu em parte recurso da empresa. E empresa disse ainda que dentre outras questões a Corte entendeu que o juiz deveria ter considerado a necessidade de prova de localização das transações nos Estados Unidos através de evidências comuns aos membros da classe.Investidores moveram ações judiciais após promotores no Brasil acusarem ex-executivos da Petrobras de aceitarem subornos ao longo de uma década principalmente de empresas de construção e engenharia.A Petrobras afirmou que foi uma vítima mas seu valor de mercado mergulhou quando o escândalo se aprofundou.,-1
07/07/2017,Petrobras coloca ativos à venda no Paraguai Brasileira tem promovido um programa de desinvestimentos e parcerias para reduzir sua dívida com o qual pretende levantar US$ 21 bilhões entre 2017 e 2018.,A Petrobras colocou à venda seus ativos no Paraguai e iniciou a etapa de divulgação da oportunidade de desinvestimento nesta sexta-feira (7) segundo comunicado da companhia.A petroleira brasileira tem promovido um programa de desinvestimentos e parcerias para reduzir sua dívida com o qual pretende levantar US$ 21 bilhões entre 2017 e 2018.As vendas de ativos já envolveram entre outros negócios algumas operações na América Latina como a totalidade da participação da companhia na Petrobras Argentina e na Petrobras Chile.Segundo a petroleira o objetivo agora é alienar integralmente suas participações acionárias nas empresas Petrobras Paraguay Distribución Petrobras Paraguay Operaciones y Logística e Petrobras Paraguay Gas.A Petrobras atua no Paraguai no mercado de distribuição e comercialização de combustíveis Gás Liquefeito de Petróleo (GLP) e lubrificantes com uma rede de 197 estações de serviços e 113 lojas de conveniência.A presença no Paraguai também inclui atuação no segmento de aviação com operação em três aeroportos e junto a grandes consumidores sendo a maior distribuidora de combustíveis do país. Em logística ela conta ainda com um terminal próprio de distribuição na cidade de Villa Elisa.Segundo vídeo divulgado pela Petrobras sobre a oportunidade de desinvestimento o processo de seleção dos potenciais investidores buscará empresas que atuem no setor de distribuição de combustíveis grupos econômicos locais tradings de commodities com ao menos um escritório na América do Sul e investidores financeiros.Para ter acesso a informações técnicas legais e financeiras do negócio os interessados devem manifestar interesse até 24 de julho.A transação em potencial oferece às partes interessadas uma oportunidade única de obter acesso ou fortalecer sua presença em um dos mercados mais promissores da América Latina através de uma plataforma de classe internacional afirma a Petrobras no material divulgado sobre a transação.,1
07/07/2017,Petrobras anuncia redução dos preços da gasolina e do diesel a partir de sábado Estatal comunicou redução de 07% nos preços da gasolina e 02% do diesel. Essa é a quarta alteração de preços anunciada pela Petrobras neste mês.,A Petrobras anunciou redução nos preços da gasolina em suas refinarias em 07% e do diesel em 02% a partir do próximo sábado (8) segundo informações publicadas nesta sexta-feira (7) no site da companhia. Nos postos de gasolina a decisão de repasse dos preços é dos comerciantes.O anúncio vem na sequência de uma redução de 05% nos preços da gasolina e do diesel em vigor a partir desta sexta-feira. Em junho a estatal anunciou dando liberdade para que a área de marketing e comercialização da empresa reajuste as cotações na refinaria de forma mais frequente inclusive diariamente.Desde então somente neste mês a Petrobras alterou os preços do diesel e da gasolina quatro vezes.,0
07/07/2017,Início produção em Libra aguarda recuperação de equipamentos e licença diz PetrobrasLibra é considerada uma das áreas mais promissoras do pré-sal e foi leiloada em 2013; previsão inicial era que produção começasse neste mês.,A Petrobras não tem ainda uma data para o início da produção no prospecto de Libra no pré-sal da Bacia de Santos após um problema em um equipamento adiar o prazo para a operação anteriormente previsto para este mês afirmou nesta sexta-feira (7) a petroleira estatal.Libra considerada uma das áreas mais promissoras do Brasil foi leiloada na primeira rodada sob regime de partilha de produção no Brasil em 2013. Ela entraria em operação em julho no chamado Teste de Longa Duração (TLD). A produção estimada para o teste é de 30 mil barris de petróleo por dia.O atraso da produção ocorreu devido a uma falha durante a manipulação de um equipamento chamado Umbilical Eletro Hidráulico (UEH) do poço 3-RJS-739A que causou a queda do equipamento e do cabo de aço de um guincho responsável pela operação no mar.O problema foi relatado na véspera durante um evento do setor pelo presidente da Pré-Sal Petróleo S.A. (PPSA) Ibsen Flores que dirige a empresa estatal responsável por gerir os contratos do pré-sal.Libra é operado pela Petrobras que tem como sócias na área a anglo-holandesa Shell a francesa Total e as chinesas CNPC e Cnooc.Os umbilicais eletro hidráulicos segundo a Petrobras são conjuntos de mangueiras e cabos elétricos utilizados para operar remotamente equipamentos e válvulas submarinas injetar produtos químicos e monitorar parâmetros de temperatura e pressão de poços.O umbilical já foi recuperado e as operações para recuperação do cabo de aço estão programadas para acontecer nos próximos dias afirmou a empresa.Segundo a Petrobras não houve danos a pessoas ao meio ambiente e à embarcação responsável pela instalação dos umbilicais.No entanto aconteceram algumas avarias no sistema necessário para a manipulação do equipamento e a empresa já iniciou ações para recuperação desse sistema.A definição da nova data para o primeiro óleo de Libra ainda depende do retorno à operação do sistema de pull-in do FPSO Pioneiro de Libra da reprogramação das atividades de interligação dos poços e da Licença de Operação (LO) a ser emitida pelo Ibama afirmou a Petrobras em nota.Atualmente o consórcio responsável por Libra tem até o fim deste ano para declarar a comercialidade do prospecto à Agência Nacional do Petróleo Gás Natural e Biocombustíveis (ANP).,0
10/07/2017,Petrobras corta preço da gasolina em 2% a partir desta terça-feiraEsta é a 3ª queda seguida do combustível anunciada pela estatal; somente em julho empresa alterou os preços nas refinarias por cinco vezes.,Aanunciou nesta segunda-feira (10) uma nova redução nos preços dos combustíveis nas refinarias. A gasolina será reduzida em 2% e o diesel em 17% a partir desta terça-feira (11). Esta é a terceira redução seguida anunciada pela estatal.Nos postos de gasolina a decisão de repasse dos preços ao consumidor é dos comerciantes.O último anúncio de preços foi feito na sexta-feira (7) quando a Petrobras.Em junho a estatal anunciou sua nova política de preços para o diesel e a gasolina dando liberdade para que a área de marketing e comercialização da empresa reajuste as cotações na refinaria de forma mais frequente inclusive diariamente.Desde então somente neste mês a Petrobras alterou os preços do diesel e da gasolina por cinco vezes.Segundo a política de preços a Petrobras busca manter sempre os valores dos dois combustíveis acima da paridade de importação seguindo as variações do mercado. Com isso a companhia abre espaço para concorrentes importarem os derivados de petróleo.Desde 3 de julho a área técnica da Petrobras pode fazer ajustes quando achar necessário desde que respeite um limite de redução de 7% a alta de 7%. A orientação anterior era de reajuste ao menos uma vez por mês.,0
11/07/2017,Conselho da Petrobras aprova IPO da BR DistribuidoraA BR Distribuidora é uma subsidiária da Petrobras líder de distribuição de combustível no Brasil com cerca de 8 mil postos em todo o país.,O Conselho de Administração da Petrobras aprovou nesta terça-feira (11) a abertura de capital da BR Distribuidora. A operação será uma oferta pública secundária de ações ou seja o capital levantado segue para a Petrobras e não para o caixa da empresa. As informações estão em fato relevante divulgado pela empresa.A BR Distribuidora é uma subsidiária da Petrobras líder de distribuição de combustível no Brasil com cerca de 8 mil postos em todo o país.A Petrobras pretende listar a empresa no Novo Mercado da B3 segmento que tem maior governança corporativa disse a empresa.Todos os atos necessários para realização da oferta estarão sujeitos à aprovação dos órgãos internos da Petrobras e da BR bem como à análise e à aprovação dos respectivos entes reguladores nos termos da legislação aplicável disse a companhia no documento.O presidente da Petrobras Pedro Parente disse em meados de junho ao anunciar a proposta da diretoria ao conselho da estatal que a oferta pública inicial de ações (IPO na sigla em inglês) seria a melhor forma de proporcionar mais valor à companhia.Anteriormente a Petrobras pretendia vender o controle da BR Distribuidora a investidores mas o processo foi suspenso por decisão judicial.A BR Distribuidora é considerada um dos ativos de maior valor no programa de desinvestimentos da estatal que projeta arrecadar US$ 21 bilhões no biênio 2017/18.Há cerca de dois anos o UBS avaliou a unidade de combustíveis da empresa em cerca de US$ 10 bilhões.No fato relevante desta terça-feira a estatal afirmou ainda que a comunicação não deve ser considerada como anúncio de oferta e a realização da mesma dependerá de condições favoráveis dos mercados de capitais nacional e internacional.,1
