data_atualizacao,titulo,conteudo,sentimento
01/06/2017,Petrobras avalia aumentar a frequência de reajuste dos preços dos combustíveisAvaliação irá mostrar se correções mensais têm sido suficientes.,A Petrobras poderá aumentar a frequência de reajustes dos preços dos combustíveis caso confirme uma avaliação preliminar de que as correções feitas pelo menos uma vez por mês não têm se mostrado suficientemente eficientes para acomodar a volatilidade afirmou nesta quinta-feira (1) a petroleira em um relatório publicado ao mercado.A empresa reiterou que no primeiro trimestre deste ano período avaliado no relatório os preços praticados pela empresa estiveram sempre acima da paridade internacional como determina a nova política da empresa.,0
01/06/2017,Petrobras pede inclusão de R$ 166 bi no Programa de Regularização TributáriaEstatal solicitou incluir débitos tributários no programa; adesão se deu em maioria na esfera administrativa.,A Petrobras solicitou a inclusão de débitos tributários no Programa de Regularização Tributária (PRT) instituído pela com pedidos de compensação de tributos federais não homologados no montante de R$ 166 bilhão disse a companhia em comunicado nesta quinta-feira (31).Segundo a petroleira a adesão se deu em sua maioria em processos na esfera administrativa com expectativa de perda provável tendo como forma de pagamento 20% em espécie e o restante com créditos de prejuízo fiscal. A Petrobras disse que o impacto estimado em seu resultado líquido consolidado é de R$ 308 milhões.,1
02/06/2017,Petrobras abre inscrições para programa de estágio 2017 Oportunidades são para níveis médio médio/técnico e superior. Bolsa-auxílio chega a R$ 16 mil.,A Petrobras abriu as inscrições para seu programa de estágio. São 338 vagas em todo o Brasil. A bolsa-auxílio varia de R$ 56363 a R$ 1.64656 de acordo com a carga horário e localidade.As oportunidades são para estudantes de níveis médio médio/técnico e superior.A carga horária do estágio poderá ser de 20 ou 30 horas semanais (condicionado aos requisitos dispostos em cada oportunidade). A empresa também fornece transporte diário assim como auxílio alimentação de R$ 55070 (apenas se não existir restaurante nas instalações da unidade).As inscrições podem ser feitas até o dia 8 de junho pelo site www.ciee.org.br.As provas on-line serão realizadas entre 12 e 14 de junho. A avaliação será composta de 45 questões objetivas sendo 15 de língua portuguesa 15 de raciocínio lógico e 15 de conhecimentos gerais.,0
02/06/2017,Após redução da Petrobras preço médio da gasolina cai nos postos diz ANPFoi a terceira queda semanal seguida; baixa aconteceu depois de anúncio de redução do valor nas refinarias pela Petrobras.,O preço médio da gasolina caiu pela terceira semana seguida segundo dados divulgados nesta sexta-feira (2) pela Agência Nacional de Petróleo (ANP). A queda acontece uma semana após a redução dos preços nas refinarias pela Petrobras.Segundo o levantamento o valor médio por litro passou de R$ 3606 para R$ 3590 - um recuo de 044%. No dia 25 a Petrobras anunciou queda de 54% do preço da gasolina nas refinarias. O repasse ou não da redução do preço aos consumidores dependem dos postos de gasolina.Já o preço médio do diesel passou de R$ 3019 para R$ 3006 por litro uma queda de 043%. Nas refinarias a queda anunciada pela Petrobras foi de 35%.No último comunicado a Petrobras sinalizou ainda que os preços de combustíveis podem ser revistos com frequência ainda maior.A Petrobras pratica desde outubro uma nova política de definição de preços dos combustíveis com reuniões mensais para definir os valores da gasolina e do diesel nas refinarias.Um reajuste da companhia nas refinarias não necessariamente significa uma mudança no preço nos postos pois as distribuidoras podem repassar ou não essa variação (como ocorreu algumas vezes).Outras variáveis também podem influir no preço da gasolina como o preço do etanol já que a gasolina comum deve ter 27% de etanol anidro – e o preço do álcool combustível varia de acordo com a safra da cana-de-açúcar.,0
02/06/2017,Petrobras faz pré-pagamento de dívida de R$ 1 bilhão com o ItaúCompanhia afirmou ainda que continuará avaliando novas oportunidades de gerenciamento dos seus passivos.,A Petrobras realizou nesta sexta-feira (2) o pré-pagamento total de uma Nota de Crédito à Exportação com o Banco Itaú de R$ 1 bilhão e prazo de vencimento em 2020 informou a petroleira em uma nota ao mercado.A companhia afirmou ainda que continuará avaliando novas oportunidades de gerenciamento dos seus passivos visando à melhora do perfil de amortização e à redução do custo da dívida levando em consideração as metas de desalavancagem previstas em seu Plano de Negócios e Gestão 2017-2021.,1
07/06/2017,Petrobras reajusta gás de botijão em 67% nas refinarias com nova política de preçosAumento passará a valer nesta quinta-feira (8). Próximos reajustes ocorrerão no dia 5 de cada mês diz estatal. Preço ao consumidor dependerá de repasses das distribuidoras.,A diretoria executiva da Petrobras aprovou uma nova política de preços para a venda às distribuidoras de Gás Liquefeito de Petróleo (GLP) em botijões para uso residencial com o primeiro reajuste previsto para esta quinta-feira (8) informou a estatal. A nova fórmula de preços levará a aumento médio nas refinarias de 67% em junho.Nos próximos meses os reajustes estão previstos para o dia 5 de cada mês. Oocorreu no dia 21 de março. A nova política de preços não se aplica ao gás de uso industrial e comercial de acordo com a estatal.Se repassado integralmente ao consumidor a Petrobras calcula que o preço do gás de cozinha subira em média 22% ou R$ 125 por botijão “se forem mantidas as margens de distribuição e de revenda e as alíquotas de tributos”. O preço ao consumidor não necessariamente reflete o ajuste nas refinarias. Isso depende de repasses por outros agentes da cadeia de combustíveis como distribuidoras e revendedores.O preço final às distribuidoras será formado pela média mensal dos preços do butano e do propano no mercado europeu convertida em reais pela média diária das cotações de venda do dólar mais uma margem de 5% informou a Petrobras.“O cálculo do preço vai ser baseado nas cotações propano e bupano no ARA que é Amsterdã Roterdã e Antuérpia um mercado relevante um mercado líquido que tem cotações líquidas para formação de preços e representa a melhor indicação de preços no mercado internacional” disse o diretor da estatal Jorge Celestino durante coletiva de imprensa.Ao detalhar como será a composição do preço do botijão o executivo ressaltou que haverá um aumento na margem do preço da companhia e uma diminuição do valor de distribuição e revenda. Até então a Petrobras respondia por cerca de 25% do valor final outros 20% são tributos e o restante do preço é composto por distribuição e revenda.“A nossa previsão é que ele passe a ser 26% preço Petrobras mantendo 20% de impostos e uma pequena queda na margem de distribuição e revenda com um aumento no preço do botijão de 22%” disse Celestino.O presidente da Petrobras Pedro Parente negou que esta nova política de preços foi implantada tendo em vista a possibilidade de venda de refinarias.“O principal motivador [para a nova política] é o fato de que [o GLP] era o único derivado que não tinha política [de reajuste de preços]. A partir do momento que você tem agora uma previsibilidade completa de formação de preços para todos os combustíveis sem dúvida nenhuma contribui para uma clareza maior para os possíveis investidores e parceiros na área de refino.Parente destacou que a nova política de preços do GLP não vai implicar necessariamente em aumento sucessivo do valor cobrado pelo produto. Segundo o executivo a revisão mensal do preço pode também fazer com que ele caia.“A exemplo do que está acontecendo com a gasolina e com o diesel nós vamos estar seguindo rigorosamente a referência utilizada significando dizer que como pode subir também pode cair [o preço]. E a gente fala isso com autoridade de que nos últimos meses desde outubro com sete reajuste cinco foram de redução de preço. Percebam que isso também pode ser vantajoso para o consumidor” afirmou.Em nota o Sindicato Nacional das Empresas Distribuidoras de Gás Liquefeito de Petróleo (Sindigás) avaliou como positiva a mudança na política de preços do GLP anunciada pela Petrobras. A entidade destacou que “o impacto da nova política de preços pode variar bastante entre os polos de abastecimento dado que as componentes de custo que formam o preço final ao consumidor são muitas além do valor de compra do produto nas refinarias”.O Sindigás ressalvou no entanto que a divulgação feita pela Petrobras mantém “incertezas quanto aos procedimentos de ajuste nos preços para os próximos meses” e observou que “a política anunciada não tratou do preço do gás comercializado para outras embalagens que atendem o comércio e a indústria mantendo-o com sobrepreço entre 45% a 50% ao da paridade de importação”. Para o sindicato esta condição penaliza setores que sofrem os impactos da crise econômica no país.Em novembro a Petrobrase reduziu alguns subsídios dados às distribuidoras. Hoje os preços são livres. Questionada sobre a medida a Petrobras disse que alterou os contratos de fornecimento para melhor refletir custos de logística que tipicamente deveriam por elas ser cobertos mas que eram suportados pela companhia.A Petrobras pratica desde outubro uma nova política de definição de preços dos combustíveis com reuniões mensais para definir os valores da gasolina e do diesel nas refinarias. O segundo dados mais recentes da Agência Nacional de Petróleo (ANP). A queda acontece uma semana após a redução dos preços nas refinarias pela Petrobras.Um reajuste da companhia nas refinarias não necessariamente significa uma mudança no preço nos postos pois as distribuidoras podem repassar ou não essa variação (como ocorreu algumas vezes).,0
08/06/2017,Petrobras cancela fornecimento de gás com empresa do J&F após delaçõesEstatal vai pedir indenização de R$ 70 milhões por quebra de cláusula contratual que trata da lei anticorrupção diz a estatal.,A Petrobras informou nesta quinta-feira (8) que cancelou antecipadamente um contrato de fornecimento de gás natural com a empresa Âmbar do grupo J&F para a UTE Mário Covas (UTE Cuiabá). O motivo foi a violação de cláusula contratual que trata da lei anticorrupção diz a estatal em comunicado ao mercado.Segundo a Petrobras o contrato celebrado em 13 de abril contêm uma afirmação da Âmbar de que não houve pagamento ou oferecimento de qualquer vantagem indevida a qualquer autoridade pública. Entretanto a Petrobras tomou conhecimento dasde executivos do grupo J&F de que cometeram atos que violam a legislação anticorrupção vigente informa a estatal.A Âmbar Energia confirmou que recebeu a notificação da Petrobras e disse que avalia o conteúdo do comunicado para decidir os próximos passos.A Petrobras também informou que vai pedir uma indenização pelo descumprimento das cláusulas contratuais da ordem de R$ 70 milhões considerando-se o prazo contratual que falta entre a data efetiva da extinção do contrato que ocorre 10 dias após a notificação e o seu término original que seria em 31 de dezembro deste ano.Cabe esclarecer que durante as negociações contratuais a Petrobras não aceitou a demanda feita pela Âmbar de pautar o preço contratual de acordo com os preços de importação do gás da Bolívia por estar abaixo das condições estabelecidas na política de preços em vigor na companhia informou a Petrobras.Desta maneira acrescentou a petroleira as condições de preço acordadas foram baseadas em critérios de mercado e que espelham contratos assinados pela Petrobras com outros clientes. No contrato que está sendo rescindido o preço vigente é de US$ 607/MMBtu enquanto o valor das importações bolivianas é de US$ 429/MMBtu.Veja o comunicado da Âmbar empresa de energia da J&F na íntegra:,-1
08/06/2017,Justiça libera venda de unidade de fertilizantes pela PetrobrasEstatal informou que foi revogada a decisão que impedia a companhia de negociar ou vender fábrica em Três Lagoas.,A Petrobras informou nesta quinta-feira (8) em comunicado enviado à Comissão de Valores Mobiliários (CVM) que foi revogada pela Justiça uma decisão que determinava que a companhia se abstivesse de negociar ou vender a fábrica de fertilizantes que está em construção em Três Lagoas (MS).Segundo a estatal o juiz da 1ª Vara Federal de Três Lagoas decidiu ainda suspender até 11 de setembro a ação civil pública movida pelo Ministério Público Federal (MPF) que pede a retomada das obras de implantação da unidade e a proibição de venda do ativo.A Petrobras estaria negociando a venda da fábrica de fertilizantes para um consórcio de empresas chinesas liderado pela Sinopec.No mesmo comunicado a estatal informa que o Pleno do Tribunal Regional Federal da 5ª Região em decisão de quarta-feira (7) manteve suspensa a liminar que determinava a paralisação da venda da participação de 90% detida pela estatal na Nova Transportadora do Sudeste (NTS).,0
08/06/2017,Petrobras tira Andrade Gutierrez da lista de empresas vetadas em licitaçõesOutras 20 empresas seguem bloqueadas.,A Petrobras anunciou nesta quinta-feira (8) que fechou acordo com a Andrade Gutierrez que permitirá a retirada da construtora da lista de empresas vetadas de participar de licitações da estatal desde dezembro de 2014.Entre as obrigações e compromissos assumidos está a manutenção por parte da Andrade Gutierrez de um programa de integridade efetivo em conformidade com a legislação anticorrupção e constituído de pontos de melhoria específicos estabelecidos pela Petrobras e sujeitos a verificação contínua incluindo a possibilidade de realização de auditoria pela Petrobras informou a estatal.Acom o Ministério Público Federal (MPF). Além de aceitar pagar multa de R$ 1 bilhão a empreiteira se comprometendo a adotar medidas como a criação de uma estrutura interna de conformidade adoção de canais independentes de denúncia e de códigos de ética e de conduta em alinhamento com a legislação anticorrupção.Atualmente segundo o Petrobras outras 20 empresas pertencentes a grupos econômicos citados na Operação Lava Jato seguem impedidas de participar das licitações da petroleira.Segundo a Petrobras o bloqueio cautelar visa resguardar a companhia e suas parceiras de danos de difícil reparação financeira e prejuízos à sua imagem.No final de maio aTambém nesta quinta-feira a para a UTE Mário Covas (UTE Cuiabá) por violação de cláusula contratual que trata da lei anticorrupção. A Petrobras tomou conhecimento das gravações de delações premiadas de executivos do grupo J&F de que cometeram atos que violam a legislação anticorrupção vigente informou a companhia.,-1
13/06/2017,Petrobras cria função de diretor adjunto de governança e conformidadeDiretoria de governança foi criada na Petrobras em janeiro de 2015 como resposta às denúncias de corrupção reveladas pela Lava Jato.,A Petrobras informou nesta terça-feira (13) que o conselho de administração da companhia aprovou a criação da função de diretor adjunto de governança e conformidade. Para o cargo foi designado o atual gerente executivo de Contabilidade e Tributário Paulo José Alves.A medida é mais um avanço no sistema de governança da companhia dado que o diretor adjunto concentrará seu foco de atuação em ações internas especialmente aquelas ligadas a demandas de controles internos governança corporativa e governança societária assim como prevenção e investigação informou a estatal em nota.Segundo a Petrobras a nova função é temporária e será mantida inicialmente até o final de 2019 quando será realizada avaliação sobre a necessidade de prorrogação da função por mais dois anos podendo ser renovada sucessivamente por iguais períodos.A criação da nova função busca agilizar os processos internos em razão da elevada carga de atribuições relacionadas a órgãos externos da companhia que tem demandado consideravelmente a Diretoria Executiva de Governança e Conformidade acrescentou o comunicado.A diretoria de governança foi criada na Petrobras em janeiro de 2015 em meio as denúncias de corrupção reveladas pela Lava Jato.Desde então a petroleira vem adotando uma série de medidas com o objetivo de combater fraudes corrupção e desvios de ética. Na contramão do encolhimento do número de funcionários da empresa a área de compliance cresceu e conta hoje com cerca de 300 pessoas.No começo do mês a Petrobras protocolou na Bolsa de Valores de São Paulo (B3 antiga Bovespa) um. O objetivo segundo a estatal é fortalecer a governança da empresa e protegê-la de práticas que possam colocar em dúvida sua integridade.O programa para estatais foi criado no ano passado pela bolsa para melhorar a imagem das empresas e prevê regras mais rígidas de divulgação de informações e na escolha de gestores. A adesão é voluntária.,-1
