,data,sentimento,titulo
0,02/10/2017,1,Petrobras anuncia US$ 63 bi em operações de pagamento renegociação e contratação de dívida Empresa pagou antecipadamente US$ 2666 bilhões em dívidas com vencimentos em 2018 e 2019 para os bancos BNP Paribas Bank of China e HSBC.
1,02/10/2017,1,Ministro de Minas e Energia prevê que Petrobras será privatizada: É um caminho Fernando Coelho Filho afirmou no entanto que governo não pode tocar todas as agendas ao mesmo tempo. Ministro falou durante entrevista ao programa  Roda Viva.
2,03/10/2017,1,Não estamos tratando disso diz ministro sobre privatização da Petrobras Fernando Coelho Filho (Minas e Energia) previu em entrevista na segunda que privatização da Petrobras vai acontecer. Governo Temer já anunciou que  privatizará a Eletrobras.
3,04/10/2017,1,Comitê do setor elétrico pedirá que Petrobras forneça combustível para térmicas paradas Comitê destacou que a previsão é de chuvas abaixo da média nas áreas dos reservatórios das usinas hidrelétricas o que aumenta a necessidade de geração  de energia por termelétricas.
4,04/10/2017,1,Petrobras está perto de atingir meta de desalavancagem A companhia que tem reduzido trimestre a trimestre sua alavancagem (índice medido pela dívida líquida/Ebtida ajustado) havia projetado atingir um nível de 25 vezes em 2018 o que deve ser antecipado.
5,05/10/2017,0,Indústria naval deve recorrer de decisão da ANP que libera Petrobras para construir casco de Libra no exterior Agência reguladora flexibilizou regras de conteúdo local para o projeto de Libra maior reserva do pré-sal; Petrobras alega que com conteúdo nacional  projeto fica 40% mais caro.
6,05/10/2017,1,Petrobras vai analisar pedido do governo por ajuda a térmicas mas sem subsídio O Comitê de Monitoramento do Setor Elétrico (CMSE) vai pedir a estatal para voltar a fornecer combustível para térmicas que estão paradas.
7,05/10/2017,0,Petrobras vê como positiva flexibilização de conteúdo local em reserva do pré-sal Na véspera ANP flexibilizou as exigências para a construção do subsitema UEP do projeto Piloto de Libra uma das maiores reservas de pré-sal brasileiro.
8,10/10/2017,0,Petrobras eleva preço do botijão de gás em 129% a partir desta quarta Estatal estima que preço ao consumidor final pode subir cerca de R$ 309 por botijão em média.
9,11/10/2017,1,Cade vê como complexa compra de ativos da Petrobras por mexicana e pede estudos Venda da Petroquímica Suape e da Citepe para os mexicanos da Petrotemex e sua subsidiária Dak Americas Exterior foi aprovada em 28 de dezembro pela  Petrobras por US$ 385 milhões.
10,11/10/2017,-1,TCU bloqueia bens de Dilma por prejuízo à Petrobras com compra de Pasadena Além da ex-presidente decisão atinge outros 5 ex-membros do Conselho de Administração da estatal que aprovaram em 2006 a compra da refinaria. Cabe  recurso.
11,16/10/2017,1,Petrobras pede registro de companhia aberta para BR Distribuidora Pedido de IPO inclui também aval para realizar uma venda secundária de ações ou seja papéis detidos por sócios.
12,17/10/2017,1,Moodys eleva nota da Petrobras e muda perspectiva para estável Agência cita redução do endividamento da petroleira e fortalecimento da governança; rating da Petrobras segue porém abaixo do grau de investimento.
13,18/10/2017,-1,Produção da Petrobras no Brasil sobe 28% em setembro ante agosto Na comparação com setembro de 2016 houve queda de 31%.
14,19/10/2017,-1,Governo exclui fatia da Petrobras na Braskem de programa de desestatização Medida também exclui a fatia da petroleira na Deten Química.
15,19/10/2017,1,Carf decide a favor da Petrobras em processo de R$ 78 bilhões diz estatal Estatal divulgou comunicado nesta quinta-feira (19).
16,24/10/2017,1,Petrobras quer vender a BR Distribuidora ‘o mais rápido possível’ Empresa tem meta de vender ativos que somam US$ 21 bilhões em 2017 e 2018 para reduzir sua dívida; neste ano empresa não vendeu nenhum negócio.
17,24/10/2017,0,Petrobras fará parceria para disputar blocos do pré-sal em leilão na sexta-feira Presidente da estatal adiantou que oferta de lance será dado em consórcio mas não revelou o nome da petroleira parceira. Na última licitação parceira foi a   norte-americana ExxonMobil.
18,26/10/2017,1,Petrobras aprova adesão a Nível 2 de governança da bolsa e corte de gerências Patamar intermediário de governança da bolsa o Nível 2 tem como principal diferença para o Novo Mercado a possibilidade de emissão de ações  preferenciais.
19,26/10/2017,0,Petrobras pode incluir ativos de logística em vendas de refinarias; detalhes devem sair no 1º tri diz Parente Segundo o presidente da Petrobras vender só as refinarias talvez não seja suficiente detalhes dos desinvestimentos devem ser publicados no 1º trimestre.
20,26/10/2017,0,Petrobras será ‘seletiva’ mas ‘muito firme’ no leilão do pré-sal diz Pedro Parente ANP pôs à venda 8 blocos de exploração do pré-sal em leilão nesta sexta-feira (27) na primeira oferta após a mudança na lei que abriu a disputa do pré-sal  para empresas privadas.
21,26/10/2017,1,Petrobras adere ao programa de regularização de dívida não tributária Segundo a estatal adesão resultará em impacto negativo no resultado do 3º tri de R$ 520 milhões; conselho de administração aprovou ainda a  reestruturação nas áreas de Exploração e Produção e de Refino e Gás Natural.
22,27/10/2017,0,Petrobras ‘não podia se dar ao luxo de perder essa oportunidade’ diz Parente sobre alta oferta nos leilões Estatal em consórcios com petroleiras estrangeiras arrematou os 3 blocos pelos quais havia manifestado interesse de preferência e ofereceu até 80% da  produção à União.
23,27/10/2017,0,Com lances altos Petrobras leva 3 blocos do pré-sal e oferece até 80% da produção à União No regime de partilha que rege o pré-sal vence a disputa quem oferecer a maior fatia de petróleo para a União; valores foram até 674% acima do lance  mínimo e superam oferta de 2013 por Libra.
24,31/10/2017,1,Petrobras busca parcerias para concluir obras do Comperj diz Parente Presidente da estatal revelou a expectativa de firmar parceria na área de refino para alavancar recursos que permitam a conclusão das obras do Complexo  Petroquímico do Rio de Janeiro.
25,31/10/2017,1,Parceria da Petrobras com empresa britânica BP deve envolver troca de ativos diz Parente Estatal divulgou carta de intenções com a BP com a qual se uniu para adquirir campos do pré-sal. Um dos principais focos da Petrobras é aumentar produção  de gás.
