data_atualizacao,titulo,conteudo,sentimento
04/08/2017,Petrobras reduz margens para recuperar mercado de gasolinaA estatal está vendendo combustível a preços próximos aos praticados na importação para ganhar participação de mercado.,A Petrobras está vendendo gasolina no Brasil a valores muito próximos aos adotados no Golfo do México flertando com os patamares da paridade de importação ao reduzir suas margens em uma nova estratégia mais agressiva para reconquistar participação no mercado doméstico.A partir do mês passado a estatal passou a fazer ajustes quase que diários para recuperar vendas perdidas desde que uma política implantada em outubro de 2016 mostrou-se incapaz de estabelecer negócios lucrativos sem abrir espaço para concorrentes que ganharam mercado no país importando derivados baratos.Segundo um levantamento da consultoria Tendências desde o início de julho a petroleira vem adotando preços muito similares aos do Golfo do México variando até o limite máximo de R$ 005/litro acima e de até R$ 003/litro abaixo do preço de referência dos Estados Unidos.Não é possível afirmar entretanto que a empresa voltou a vender o combustível por valores inferiores aos empenhados na importação do produto --algo proibido pela política da Petrobras. Segundo explicaram analistas os preços de referência da estatal no exterior e os custos para a importação são sigilosos e estratégicos o que dificulta tal afirmação.Mas o movimento de fato é muito diferente do que aconteceu entre outubro de 2016 e junho de 2017 quando a empresa realizou boas margens em relação aos preços externos. Nesse período as cotações da gasolina vendida pela Petrobras nas refinarias ficaram em média R$ 021 acima do preço do Golfo do México segundo a Tendências.Em 14 de novembro por exemplo a diferença positiva chegou a atingir R$ 036 dez vezes mais o registrado no início desta semana.Ela jogou o preço doméstico ao nível do preço externo (Golfo do México) sem nenhum custo de importação... em tese para recuperar mercado bastaria chegar perto da paridade de importação afirmou o analista da Tendências Walter Vitto ponderando que não é possível saber ao certo as margens obtidas pela empresa.Os cálculos do Centro Brasileiro de Infraestrutura (CBIE) apontam na mesma direção.Segundo essa consultoria os preços da gasolina estiveram em 31 de julho por exemplo defasados em 55% em relação à paridade.Entretanto disse o diretor do CBIE Adriano Pires a consultoria acredita que a Petrobras está na paridade considerando uma margem de erro da estimativa que vai até 8% abaixo.Para Pires a política que reduziu o intervalo de reajustes mostrou que a empresa está mais alinhada com práticas de mercado.Isso mostra para a população brasileira que combustíveis são iguais a açúcar café commodities que variam em função de mercado... antigamente as pessoas achavam que (os combustíveis) eram para controlar a inflação afirmou ele.O presidente-executivo e acionista da Alesat --quarto maior grupo de distribuição de combustíveis do Brasil-- Marcelo Alecrim afirmou à Reuters que a política de preços da Petrobras de reajustes quase que diários aumentou as incertezas para as empresas que fazem importações.(A nova política) atrapalhou muito as importações. Antes fechava o barril o navio vinha e você sabia que naquele preço como ela (Petrobras) não ia (mexer) você ganhava ou perdia... agora como está (mexendo) todos os dias fica incerto então mudou totalmente a política de preços afirmou Alecrim à Reuters.Ainda está muito cedo para avaliar a repercussão disso mas uma coisa é muito certa (as importações) ficaram mais para quem é profissional acrescentou ele lembrando que a Alesat não atua como operador na importação de combustíveis e realiza compras externas apenas para o próprio suprimento.Os executivos da Petrobras vêm defendendo que a política está sendo seguida à risca inclusive com a prática de preços sempre acima da paridade de importação.Entretanto a empresa não respondeu aos pedidos de comentários da Reuters para a reportagem.Na semana passada a Petrobras publicou sua primeira avaliação após a revisão da política afirmando em nota que os ajustes promovidos têm sido suficientes para garantir a aderência dos preços às volatilidades dos mercados de derivados e ao câmbio e representam uma evolução em relação ao modelo anterior.Em abril as importações de concorrentes da Petrobras chegaram a tocar os 419 milhões de litros segundo a petroleira o que em anos passados seria praticamente impossível já que a empresa --que tem quase 100% da capacidade de refino do Brasil-- mantinha os preços muito baixos.Durante cerca de quatro anos a empresa amargou prejuízos bilionários na sua área de abastecimento até 2014 com interferências do governo por conta dos preços baixos.Por outro lado entre outubro de 2016 e junho de 2017 a Petrobras praticou margens bem elevadas para recuperar caixa comentou o ex-diretor-geral da Agência Nacional do Petróleo Gás Natural e Biocombustíveis (ANP) e sócio-diretor da consultoria DZ Negócios com Energia David Zylbersztajn.Mas o mercado foi muito mais ágil do que se imaginava e a Petrobras perdeu mercado muito rápido... Eu diria que é impossível ela voltar a praticar preços abaixo do mercado então por isso que ela tem que ser muito ágil quanto mais próximo do mercado melhor disse Zylbersztajn.Segundo o consultor a virtude maior dessa política é contribuir com a atração de investimentos em momento em que a empresa está vendendo ativos ao indicar que a Petrobras não está mais disposta a perder dinheiro com a venda de combustíveis.,0
08/08/2017,Certificado de governança ajudará Petrobras em todos os aspectos diz ParentePetrobras obteve certificação no Programa Destaque em Governança de Estatais.,O presidente da Petrobras Pedro Parente anunciou nesta terça-feira (8) que a estatal recebeu a certificação no Programa Destaque em Governança de Estatais concedida pela B3 (antiga BM&FBovespa).Estamos fazendo um trabalho de aperfeiçoamento com os objetivos de termos a melhor governança possível e evitar que problemas do passado se repitam e ter no âmbito de prêmios ou reconhecimentos públicos essa governança reconhecida é muito bom disse Parente durante evento em São Paulo.Segundo Parente a Petrobras foi a primeira empresa pública que deu entrada na B3 e recebeu reconhecimento no programa de destaque juntamente com o Banco do Brasil o que é muito relevante pra empresa.Questionado se esse certificado pode ajudar em termos financeiros a estatal Parente disse que ajudará em todos os aspectos. Sem dúvida nenhuma uma empresa que tenha uma governança reconhecida por sinais públicos isso certamente ajuda em todos os aspectos afirmou.A Petrobras teve seu nome envolvido na Operação Lava Jato. As investigações apontaram que os diretores da empresa cobraram propina de empreiteiras para fechar contratos com a estatal.Após o escândalo a Petrobras mudou sua diretoria e vem implementando umapara convencer seus investidores de que atua de acordo com boas práticas de governança. A empresa é alvo de processos de investidores estrangeiros que se dizem lesados pelas práticas de corrupção adotadas pela empresa no passado.Segundo comunicado enviado pela Petrobras ao mercado a estatal atendeu a todas as medidas obrigatórias do programa.Entre as medidas citadas por Parente estão veto de membros do governo e líderes sindicais no Conselho de Administração e processo transparente na contratação de gerentes. Outra medida destacada por Parente foi a implantação de um canal independente de denúncias com garantia de anonimato.A certificação é mais um passo importante no compromisso da Petrobras com a contínua melhoria de sua governança corporativa bem como seu alinhamento às melhores práticas do mercado informou a estatal no comunicado.A companhia se comprometeu ao longo dos próximos anos a ter práticas de transparência na governança e adotar todas as demais medidas do programa até 2020.,-1
10/08/2017,Lucro da Petrobras cai 15% no 2º trimestre para R$ 316 milhõesEm relação ao 1º trimestre queda foi de 93%. Apesar do recuo trata-se do terceiro trimestre seguido de ganhos.,A Petrobras registrou lucro líquido de R$ 316 milhões no 2º trimestre informou a estatal nesta quinta-feira (10). O resultado representa uma queda de 146% em relação ao 2º trimestre de 2016 e um recuo de 93% na comparação com o 1º trimestre.Trata-se do terceiro trimestre seguido de ganhos. No 1º trimestre a petroleira tinha registrado lucro de 445 bilhões. Em 2016 a Petrobras acumulou prejuízo de R$ 148 bilhões no 3º ano seguido de perdas.Segundo a estatal o resultado refletiu as menores margens de derivados a diminuição do volume vendido e redução das despesas operacionais.O diretor financeiro e de relações com investidores Ivan Monteiro afirmou nesta quinta-feira à noite que uma série de fatores não recorrentes afetaram substancialmente o resultado líquido. Ele citou os programas tributários do governo e o arrendamento da navio-sonda Vitória 10.000.A receita da companhia somou R$ 669 bilhões no 2 trimestre queda de 6% ante a receita de R$ 71320 bilhões do mesmo intervalo do ano passado.O Ebitda (lucro antes de juros impostos amortização e depreciação) ajustado somou R$ 19094 bilhões entre abril e junho ante R$ 20450 bilhões no mesmo período do ano passado.No acumulado no semestre a Petrobras registrou lucro de R$ 47 bilhões ante um prejuízo de R$ 876 milhões no mesmo período do ano passado. Já a receita caiu 4% para R$ 13536 bilhões.O presidente da empresa Pedro Parente disse que o resultado foi positivo e que o segundo trimestre foi afetado por motivos extraordinários.Tivemos um resultado bastante expressivo no primeiro semestre. Nosso lucro operacional aumentou 5% e por motivos extraordinários tivemos lucro líquido menor no trimestre mas pela segunda vez tivemos lucro líquido no semestre o que não acontecia há muito tempo afirmou.Entre os principais fatores que impactaram o resultado no 2º trimestre a Petrobras destacou:Já entre os destaques positivos a Petrobras citou o aumento de R$ 95 bilhões na receita com exportações devido aos maiores volumes e preços de petróleo o recebimento de R$ 697 bilhões com a venda da participação na Nova Transportadora do Sudeste (NTS) e a redução de 68% nos custos exploratórios e de 16% nas despesas de vendas gerais e administrativas.No final de junho a dívida líquida da Petrobras somou R$ 2953 bilhões ante R$ 3009 bilhões no final de março e R$ 314 bilhões no final de 2016.Em dólares o endividamento caiu 7% na comparação com dezembro para US$ 8926 bilhões no encerramento do 2º trimestre. Além disso a gestão da dívida possibilitou o aumento do prazo médio do endividamento de 746 anos em 31.12.2016 para 788 anos em 30.06.2017 destacou a companhia.A Petrobras informou que terminou junho com um efetivo de pessoal de 63.152 empregados o que corresponde a uma redução de 18% em comparação a um ano antes em função do plano de incentivo ao desligamento voluntário.A produção de petróleo da Petrobras no Brasilante o mesmo período do ano anterior para 2171 milhões de barris por dia (bpd) acima da meta prevista para o ano de 2017 de 207 milhões de bpd. O volume de petróleo produzido pela empresa nos primeiros 6 meses deste ano foi ainda 12% acima da média de extração registrada em todo o ano passado.Já a produção total da Petrobras que também engloba gás natural no Brasil e exterior cresceu 29% na primeira metade do ano em comparação ao mesmo período do ano passado para 2791 milhões de barris de óleo equivalente por dia (boe/d) também acima da meta prevista para todo o ano de 262 milhões de boe/d.Parente destacou a redução de custo de extração do petróleo na camada pré-sal. O custo de extração do pré-sal abaixo de US$7 é extremamente positivo. Estamos em um mercado extremamente competitivo. Só sobrevive quem tiver o melhor desempenho afirmou.Após a crise detonada pela Lava Jato e pela queda dos preços internacionais do petróleo o endividamento líquido da Petrobras passou de um patamar de R$ 100 bilhões no final de 2011 e chegou a R$ 392 bilhões no final de 2015. A dívida líquida da companhia caiu para R$ 2953 milhões ao fim do primeiro semestre de 2017.Para melhorar suas finanças a estatal cortou investimentos e iniciou um programa de venda de ativos. A empresa investiu R$ 103 bilhões no segundo trimestre uma queda de 76% em relação ao mesmo período de 2016.O plano de negócios da Petrobras prevê arrecadar mais US$ 21 bilhões com a venda de ativos (os chamados desinvestimentos) e parcerias entre 2017 e 2018.A petroleira avalia a possibilidade de realizar ainda neste ano a líder de distribuição de combustível no Brasil com cerca de 8 mil postos em todo o país. Há cerca de dois anos o UBS avaliou a unidade de combustíveis da empresa em cerca de US$ 10 bilhões.A Petrobras adotou uma nova política de preços para a venda de combustíveis e gás de cozinha. Desde julho a estatal passou a fazer ajustes quase que diários na gasolina e no diesel em uma nova estratégia mais agressiva para reconquistar participação no mercado doméstico.Parente afirmou que a nova política não impactou o resultado da companhia no trimestre. A política foi alterada no fim de julho mas leva dois meses para ter efeito o que só vai acontecer em setembro. Achamos que é muito cedo para ver os resultados da política no market share mas estamos muito satisfeitos com a poítica que reflete a volatilidade dos preços internacionais afirmou.Em abril as importações de concorrentes da Petrobras chegaram a tocar os 419 milhões de litros segundo a petroleira o que em anos passados seria praticamente impossível já que a empresa - que tem quase 100% da capacidade de refino do Brasil - mantinha os preços abaixo da paridade internacional.A Petrobras deve voltar a operar com crédito do BNDES disse Monteiro durante entrevista coletiva para comentar os resultados do trimestre. As concessões estão travadas desde 2015 por ordem do Banco Central. O BC entendeu na época que o crédito concedido à estatal superava o limite de exposição do banco com um único cliente.Uma linha que a gente espera operar é o Finame de máquinas e equipamentos. Esperamos usar de R$ 800 milhões a R$ 1 bilhão só de Finame afirmou o diretor financeiro.Segundo ele a empresa espera tomar R$ 2 bilhões em financiamentos do BNDES nos próximos seis meses.,-1
10/08/2017,Petrobras anuncia descoberta de petróleo no pré-sal da Bacia de CamposSegundo a Petrobras resultado mostra potencial de novas descobertas em baicas maduras; óleo está em Campo de Marlim do Sul.,A Petrobras anunciou nesta quinta-feira (10) a descoberta de petróleo no pré-sal da área de Marlim Sul na Bacia de Campos. Conhecida informalmente como Poraquê Alto o campo está em profundidade de 4.568 metros. O poço que identificou a descoberta está localizado a 115 km da costa do Rio de Janeiro em profundidade d’água de 1.107m.O anúncio foi feito no mesmo dia em que a empresa divulgou seus resultados trimestrais. O lucro da estatal.Segundo a companhia a análise dos dados atuais indica reservatórios com boas características de porosidade e permeabilidade com 45 metros de espessura de óleo. Segundo Solange Guedes diretora de Exploração e Produção da Petrobras descobertas na Bacia de Campos são“ extremamente rentáveis por estar em uma área com extensa infraestrutura”.A produção na Bacia de Campos está em declínio. No primeiro semestre deste ano caiu 6% em relação ao mesmo período de 2016. De 1352 milhão de barris por dia para 1272 milhão de barris por dia.A queda da produção em Campos vem sendo compensada pelo crescimento da Bacia de Santos onde está a maioria dos campos do pré-sal. A área do pré-sal responde hoje por 51% da produção da companhia somando 135 milhão de barris por dia.,1
11/08/2017,Petrobras eleva previsão de captações e busca reduzir vencimentos de curto prazoAs previsões para captações de recursos no ano foram elevadas de US$ 4 bilhões para US$ 13 bilhões.,A Petrobras aumentou a previsão de captação de recursos neste ano com o objetivo de reduzir os volumes de vencimentos de dívidas em 2018 2019 e 2020 ao observar oportunidades no mercado doméstico e considerando que o ambiente no próximo ano pode não ser favorável devido às eleições presidenciais.As previsões para captações de recursos em 2017 foram elevadas para US$ 13 bilhões ante previsão anterior publicada em maio de 4 bilhões de dólares informou a companhia nesta sexta-feira durante teleconferência com analistas de mercado sobre os resultados da empresa no segundo trimestre.Em conversa com analistas o diretor-executivo da Área Financeira e de Relacionamento com Investidores Ivan Monteiro afirmou que todas as próximas captações deste ano devem ser realizadas no Brasil e que a estratégia de amortização da dívida deve permanecer como a adotada nas últimas operações.A ideia é obter recursos para realizar pré-pagamentos de vencimentos mais curtos e alongando a dívida para períodos entre cinco e sete anos segundo explicou Monteiro.A gente está com um nível de amortização (da dívida) bastante confortável para 2018... mas a gente acha que deve (realizar amortizações) dado que 2018 é um ano eleitoral; e a gente acha que existem oportunidades e você deve esperar anúncios da companhia nas próximas semanas afirmou Monteiro.Na noite de quinta-feira (11) Monteiro afirmou em uma coletiva de imprensa sobre os resultados que há vencimentos de US$ 93 bilhões para 2018 e que a empresa vai trabalhar para uma redução entre US$ 15 bilhões e US$ 2 bilhões.Os vencimentos atuais para 2019 somam US$ 167 bilhões enquanto que os de 2020 somam US$ 126 bilhões segundo dados da Petrobras.O endividamento líquido da empresa caiu de R$ 314120 bilhões ao final do ano passado para R$ 2953 bilhões ao final do primeiro semestre. O indicador de dívida líquida/Ebtida ajustado ficou em 323 vezes praticamente estável ante o primeiro trimestre (324 vezes).Uma das fontes de financiamento neste ano será com um retorno ao BNDES que irá somar R$ 2 bilhões segundo Monteiro afirmou na quinta-feira. Desse volume até R$ 1 bilhão será com a linha Finame voltada para máquinas e equipamentos e os demais para outras finalidades disse o diretor.A gente não tem nenhum planejamento de captação no mercado internacional de capitais neste ano neste momento estamos em um processo de realização de... renda fixa no mercado nacional o que muito nos alegra afirmou Monteiro.Em julho a empresa informou que seu Conselho de Administração aprovou a emissão de até R$ 5 bilhões em debêntures simples não conversíveis em ações.Sobre os resultados Monteiro frisou que a empresa permanecerá em busca de redução da dívida e que para isso irá acelerar o programa de desinvestimentos no segundo semestre. Ele disse que a empresa mantém a meta de obter US$ 21 bilhões com o programa de venda de ativos entre 2017 e 2018.A empresa também permanecerá em busca de redução de custos e aumento da eficiência principalmente na área de exploração e produção.A Petrobras teve queda no lucro líquido do segundo trimestre a R$ 316 milhões em resultado abaixo do consenso do mercado devido a despesas bilionárias com a adesão a programas de regularização tributária preços do petróleo ainda fracos queda nas exportações e menores vendas domésticas.O lucro líquido recuou 146% sobre os segundo trimestre de 2016 e 93% ante os três primeiros meses deste ano com efeitos negativos de R$ 6234 bilhões da adesão aos programas tributários conhecidos como PRT e Pert.,1
14/08/2017,Petrobras anuncia 2ª fase de venda de ativos no ParaguaiTrês companhias que atuam na distribuição e venda de combustíveis no país vizinho serão vendidas.,A Petrobras informou em fato relevante ao mercado nesta segunda-feira (14) que deu início à fase não vinculante do processo de venda de seus ativos no Paraguai.O comunicado dá continuidade ao anúncio do dia 7 de julho da venda da totalidade da parte da estatal na Petrobras Paraguay Distribuición Limited Petrobras Paraguay Operaciones y Logística e Petrobras Paraguay Gas.Nessa etapa do projeto são enviados aos interessados habilitados na fase anterior o memorando descritivo com maiores informações sobre os ativos em questão bem como instruções sobre o processo de desinvestimento incluindo as orientações para elaboração e envio das propostas não vinculantes.Segundo a empresa o processo está em consonância com a sistemática para desinvestimentos da Petrobras e está alinhada às orientações do Tribunal de Contas da União (TCU).A Petrobras tem atuação no mercado paraguaio por meio das três companhias na distribuição e venda de combustíveis.Após a fase anunciada nesta segunda virá a fase vinculante a negociação com a concessão de exclusividade e a aprovação do negócio.,1
15/08/2017,Produção de petróleo da Petrobras no país em julho cai 33% ante junhoA queda foi atribuída principalmente à parada programada da plataforma P-58 na Bacia de Campos.,A Petrobras reportou nesta terça-feira (15) uma produção média de petróleo no Brasil em julho de 212 milhões de barris por dia uma queda de 33% na comparação com a produção de junho recuo atribuído principalmente à parada programada da plataforma P-58 na Bacia de Campos.A produção total de petróleo e gás natural em julho foi de 274 milhões de barris de óleo equivalente por dia sendo 263 milhões de boed produzidos no Brasil informou a Petrobras.No pré-sal a produção de petróleo e gás natural foi de 161 milhão bpd volume 43% inferior em relação ao mês anterior.,-1
15/08/2017,Petrobras eleva em 72% preço do GLP industrial a partir de quarta-feiraEstatal disse que o aumento foi motivado pela variação das cotações nos mercados internacionais desde a última revisão.,A Petrobras anunciou nesta terça-feira alta de 72% em média no preço do Gás Liquefeito de Petróleo (GLP) em embalagens acima de 13 quilos a partir de quarta-feira (16) o que foi considerado preocupante pelo Sindicato Nacional das Empresas Distribuidoras de Gás Liquefeito de Petróleo (Sindigás).Em nota nesta terça-feira a Petrobras afirmou que o ajuste do produto destinado ao uso comercial e industrial é explicado principalmente pela variação das cotações nos mercados internacionais desde a última revisão de preços.A Petrobras ressaltou ainda que os preços de GLP destinado ao uso residencial o chamado gás de cozinha comercializado pelas distribuidoras em botijões de até 13 quilos não foram objeto deste reajuste nesta terça-feira.Em nota o Sindigás afirmou que com o aumento de preços o valor do produto destinado a embalagens maiores que 13 quilos ficará 399% acima da paridade de importação.O aumento do GLP para embalagens que atendem o comércio e aindústria é preocupante pois afasta ainda mais o preço internodos valores praticados no mercado internacional impactandojustamente setores que precisam reduzir custos disse oSindigás.,0
21/08/2017,Justiça suspende venda de 50% da Termobahia pela PetrobrasDecisão é da Justiça Federal de Sergipe e empresas podem recorrer; negócio faz parte de acordo de R$ 22 bilhões da Petrobras com a petroleira francesa Total.,A Justiça Federal no Sergipe suspendeu em caráter temporário a venda pela Petrobras de uma fatia de 50% na Termobahia para a Total Brasil E&P da petroleira francesa Total após uma ação popular.O negócio faz parte do acordo de R$ 22 bilhões assinado em dezembro do ano passado entre ambas as companhias que envolve a cessão de direitos em áreas no pré-sal compartilhamento de terminal de regaseificação transferência de fatias em térmicas entre outros negócios.A Termobahia opera as termelétricas Celso Furtado e Rômulo de Almeida ambas na Bahia. A Petrobras detém cerca de 99% das ações com direito a voto na empresa e com a concretização da venda essa fatia cairia para pouco mais de 49%.A venda dos ativos da Petrobrás sem licitação se encontra maculado de inconstitucionalidade material razão pela qual deverá ser declarado nulo de pleno direito afirma o relatório do juiz Edmilson da Silva Pimenta da 3ª Vara Federal no Sergipe que assinou a decisão judicial.A decisão deve ser cumprida imediatamente mas não foi fixada multa por eventual descumprimento. As empresas terão 40 dias para contestar a decisão.Petrobras e a Total não puderam ser contatadas imediatamente.,1
23/08/2017,Petrobras terá 30 minutos em leilão do pré-sal para dizer se segue em consórcioRegra valerá para a segunda e terceira rodadas de leilões do pré-sal sob regime de partilha em 27 de outubro.,A Petrobras terá 30 minutos para se manifestar sobre a permanência ou não nos consórcios em que participar nos leilões do pré-sal deste ano afirmou nesta quarta-feira (23) a Agência Nacional do Petróleo Gás Natural e Biocombustíveis (ANP) ao anunciar a publicação de editais e modelos de contratos das licitações.A regra que valerá para a segunda e terceira rodadas sob regime de partilha em 27 de outubro permitirá que a Petrobras desista de áreas do pré-sal se considerar o lance vencedor muito elevado para sua capacidade financeira.Uma nova norma também deu à Petrobras o direito de escolher as áreas do pré-sal que ela disputará nas licitações – antes a empresa era obrigada a ser a operadora única de todas as áreas.A Petrobras anunciou em maio quenos dois leilões do pré-sal.A estatal estimou em R$ 810 milhões o valor correspondente ao bônus de assinatura a ser pago pela companhia considerando que os resultados dos leilões confirmem apenas as participações mínimas de 30% indicadas em cada bloco.Na segunda rodada do pré-sal a empresa informou que exercerá a preferência para a área unitizável adjacente ao campo de Sapinhoá um dos maiores do Brasil já em produção enquanto na terceira a estatal exercerá preferência nos prospectos exploratórios de Peroba e Alto de Cabo Frio Central.Nos leilões de partilha leva uma área o consórcio que ofertar à União o maior percentual do excedente em óleo. Além disso o vencedor tem que arcar com um bônus de assinatura.Na segunda rodada serão oferecidas quatro áreas com jazidas unitizáveis envolvendo áreas não contratadas à União relativas às descobertas denominadas Gato do Mato e Carcará e aos campos de Tartaruga Verde e Sapinhoá.A terceira rodada ofertará as áreas de Pau Brasil Peroba e Alto de Cabo Frio Oeste na Bacia de Santos e a Área de Alto de Cabo Frio Central nas Bacias de Santos e Campos.O prazo para pagamento do bônus de assinatura vai até 11 de dezembro e a assinatura dos contratos até 29 de dezembro. Se todas as áreas ofertadas forem arrematadas os dois leilões vão gerar R$ 775 bilhões em bônus para a União.A ANP informou ainda que os documentos para as rodadas que passaram por consulta e audiência públicas trazem ainda a revisão dos critérios de qualificação técnica para qualificação como operadora A e a alteração da sistemática de apresentação de ofertas.Já com relação aos contratos de partilha a ANP citou também aprimoramentos como a exclusão da multa por descumprimento das obrigações de PD&I a revisão da cláusula de arbitragem e alterações nos procedimentos para apuração do custo e do excedente em óleo decorrentes do acatamento de sugestões recebidas no âmbito da consulta pública.Ao todo o governo prevê quatro rodadas de licitação de blocos para exploração de petróleo e gás neste ano. Além das duas rodadas do pré-sal estão marcadas a 4ª rodada de campos maduros para 11 de maio e a 14ª rodada por modelo de concessão para 27 de setembro.,0
