data_atualizacao,titulo,conteudo,sentimento
02/10/2017,Petrobras anuncia US$ 63 bi em operações de pagamento renegociação e contratação de dívida Empresa pagou antecipadamente US$ 2666 bilhões em dívidas com vencimentos em 2018 e 2019 para os bancos BNP Paribas Bank of China e HSBC.,A Petrobras anunciou nesta segunda-feira (2) que realizou operações de pré-pagamento renegociação e novas contratações de financiamentos totalizando  US$ 63 bilhões de acordo com comunicado enviado ao mercado. A empresa pagou antecipadamente US$ 2666 bilhões em dívidas com vencimentos em 2018 e 2019 para os bancos BNP Paribas Bank of China e HSBC. A petroleira renegociou financiamentos existentes com o banco Mizuho no valor de US$ 570 milhões que venciam originalmente em 2018 e 2019 e que  passaram a ter vencimento em 2021 e 2022. A estatal também fez o pré-pagamento de US$ 15 bilhão para o Bank of America de financiamentos que venciam originalmente em 2018 e 2019 e a  contratação de novos financiamentos de US$ 1125 bilhão com vencimentos em 2022 e 2023. A Petrobras também liquidou operação de financiamento com o BNDES no valor de R$ 14 bilhão referente à unidade de fertilizantes nitrogenados III. Petrobras continuará avaliando novas oportunidades de pré-pagamento e de novos financiamentos de acordo com a sua estratégia de gerenciamento de  passivos que visa à melhora do perfil de amortização disse a estatal. A nova sistemática de formação de preços de combustíveis deve ajudar a Petrobras a atrair mais parceiros no segmento de petróleo e gás disse a estatal  nesta segunda-feira. Em uma apresentação elaborada para o dia do investidor da companhia em Nova York a Petrobras reafirmou seus objetivos de dívida e venda de ativos até  do próximo ano. A estatal ressaltou que não enfrenta problemas de liquidez em 2017.,1
02/10/2017,Ministro de Minas e Energia prevê que Petrobras será privatizada: É um caminho Fernando Coelho Filho afirmou no entanto que governo não pode tocar todas as agendas ao mesmo tempo. Ministro falou durante entrevista ao programa  Roda Viva.,O ministro de Minas e Energia Fernando Coelho Filho afirmou nesta segunda-feira (2) que acha que a privatização da Petrobras vai acontecer mas que o  governo atual não pode tocar todas as agendas ao mesmo tempo. Ele falou sobre o assunto no programa Roda Viva ao ser questionado sobre o motivo pelo qual o governo não privatiza a Petrobras como pretende fazer  com a Eletrobras. “Eu acho que isso vai acontecer. É um caminho” afirmou o ministro. Ao comentar o processo de privatização da Eletrobras o ministro disse que o processo incluirá Furnas e Chesf que são subsidiárias da Eletrobras. “Vamos privatizar a Eletrobras enquanto holding e suas filiadas” disse. No Congresso Nacional há uma resistência sobre a privatização das duas subsidiárias. No programa Coelho Filho reforçou que a ideia do governo é privatizar a empresa através da redução de sua privatização e não da venda de suas ações. Para isso o governo oferecerá para a Eletrobras usinas hidrelétricas que entraram no sistema de cotas – sistema que só remunera a estatal para a operação  das usinas. Para pagar a União pelas usinas a Eletrobras faria emissão de ações o que diluiria a participação da União a um percentual inferior a 50%.,1
03/10/2017,Não estamos tratando disso diz ministro sobre privatização da Petrobras Fernando Coelho Filho (Minas e Energia) previu em entrevista na segunda que privatização da Petrobras vai acontecer. Governo Temer já anunciou que  privatizará a Eletrobras.,O ministro de Minas e Energia Fernando Coelho Filho afirmou nesta terça-feira (3) que o governo do presidente Michel Temer não avalia a privatização da  Petrobras e que neste momento ela está fora de cogitação. Não estamos tratando disso [privatização da Petrobras]. Estamos tratando de [privatização da] Eletrobras disse o ministro após participar de audiência  pública no Senado Federal. Na segunda (2) em entrevista ao programa Roda Viva da TV Cultura  mas que não era possível tocar todas as agendas ao mesmo tempo. Eu acho que isso [privatização da Petrobras] vai acontecer. É um caminho mas o governo não pode tocar todas as agendas ao mesmo tempo afirmou ele  durante o programa. O ministro foi questionado no Roda Viva da razão de governo não fazer a privatização da Petrobras . E agosto o governo anunciou que iria reduzir sua participação acionária na Eletrobras a um percentual inferior a 50%. Essa redução deve ocorrer com a  emissão de ações pela empresa o que não será acompanhada pelo governo. Sobre a privatização da Eletrobras o ministro admitiu que o governo está discutindo a possibilidade de antecipar o fim da concessão de outras usinas da  Eletrobras. Isso está sendo estudado com a equipe econômica disse. Com a antecipação do fim dos contratos a Eletrobras teria que pagar para continuar com usinas assim como deve pagar para ficar com as usinas que hoje  estão no sistema de cotas e que serão ofertadas para a Eletrobras dentro do processo de privatização. O sistema de cotas criado pela MP 579 em 2012 prevê a venda da energia apenas pelo custo de operação das usinas. Na época o sistema permitiu a  redução do custo da energia. Segundo o ministro a modelagem de privatização da Eletrobras deve ser entregue ao presidente Michel Temer até o final da próxima semana ou início da  outra. Coelho Filho afirmou que a ideia é enviar a proposta ao Congresso ainda em outubro.,-1
04/10/2017,Comitê do setor elétrico pedirá que Petrobras forneça combustível para térmicas paradas Comitê destacou que a previsão é de chuvas abaixo da média nas áreas dos reservatórios das usinas hidrelétricas o que aumenta a necessidade de geração  de energia por termelétricas.,O Comitê de Monitoramento do Setor Elétrico (CMSE) decidiu nesta quarta-feira (4) que pedirá à Petrobras que viabilize o fornecimento de combustível para   usinas termelétricas que hoje estão paradas por falta de combustível. Em nota o comitê informou que a previsão é de chuvas abaixo da média para as áreas dos reservatórios das usinas hidrelétricas. Com isso diz a nota o CMSE “reiterou a importância de viabilização de recursos adicionais de usinas termelétricas que se encontram no momento  operacionalmente disponíveis porém sem combustível”. As usinas Araucária da Copel Cuiabá da Âmbar Energia - empresa do grupo J&F - e Termonorte II de um produtor independente estão paradas por falta  de combustível. Araúcária e Cuiabá operam com gás natural. A Termonorte é movida a óleo combustível. A situação crítica dos reservatórios das usinas hidrelétricas levou a Agência Nacional de Energia Elétrica (Aneel) a  o que significa uma cobrança extra de R$ 340 a cada 100 kWh de energia consumidos. A bandeira é ativada quando o custo de geração da energia sobe geralmente por causa da necessidade de acionamento de usinas termelétricas que geram  energia a custo maior.,0
04/10/2017,Petrobras está perto de atingir meta de desalavancagem A companhia que tem reduzido trimestre a trimestre sua alavancagem (índice medido pela dívida líquida/Ebtida ajustado) havia projetado atingir um nível de 25 vezes em 2018 o que deve ser antecipado.,A Petrobras está perto de atingir sua ambiciosa meta de desalavancagem disse na terça-feira (4) o presidente do Conselho de Administração da petroleira  Nelson Carvalho durante uma apresentação em São Paulo. A companhia que tem reduzido trimestre a trimestre sua alavancagem (índice medido pela dívida líquida/Ebtida ajustado) havia projetado atingir um nível de  25 vezes em 2018 o que deve ser antecipado. Alavancagem é quando a empresa usa o endividamento para aumentar seu capital ou seja se alavanca para financiar seus investimentos através de   empréstimos bancários ou de emissões de papéis de dívida. A empresa fechou o segundo trimestre com uma alavancagem de 32 vezes ante 51 vezes ao final de 2015. Em evento do Instituto Brasileiro de Governança Corporativa (IBGC) Carvalho afirmou ainda que o objetivo é realizar a oferta pública de ações (IPO) da BR  Distribuidora ainda em 2017. Segundo ele uma eventual suspensão do IPO poderia acontecer por condições de mercado adversas mas não é esse o cenário agora. A operação visa  ajudar a companhia a reduzir o seu endividamento.,1
05/10/2017,Indústria naval deve recorrer de decisão da ANP que libera Petrobras para construir casco de Libra no exterior Agência reguladora flexibilizou regras de conteúdo local para o projeto de Libra maior reserva do pré-sal; Petrobras alega que com conteúdo nacional  projeto fica 40% mais caro.,A indústria naval brasileira saiu prejudicada com a decisão da Agência Nacional de Petróleo Gás e Biocombustíveis (ANP) que e vai tentar reverter a decisão. Foi o que afirmou nesta quinta-feira (5) o vice-presidente do Sindicato Nacional da Indústria da Construção e Reparação  Naval e Offshore (Sinaval) Sérgio Bacci que promete recorrer da decisão. A decisão da ANP divulgada na quarta-feira (4) isentou o Consórcio de Libra operado pela Petrobras a contratar inteiramente no exterior a construção de  casco de uma plataforma do tipo FPSO para operar em Libra considerada a maior reserva de pré-sal do mundo. “Os estaleiros sobrevivem de fazer casco de navio. Ou seja com a decisão a Petrobras não precisará fazer casco aqui no Brasil. Do ponto de vista da  indústria naval foi um desastre total [esta decisão]. Ela [a indústria naval] tinha capacidade de construir os cascos aqui no país” afirmou Bacci ao . O vice-presidente do Sinaval afirmou que “nenhum estaleiro foi consultado para saber se dava conta de fazer o casco”. Por isso a entidade solicitou à ANP a  documentação apresentada pelo Consórcio de Libra para saber qual foi a base de sustentação da agência reguladora ao deferir o pedido. “Queremos uma manifestação da área técnica para saber o que levaram em consideração. Estamos cobrando insistentemente desde ontem [quarta-feira] da  ANP essa documentação para saber o que subsidiou a decisão. Em cima dessa documentação vamos ver as medidas administrativas e judiciais que podemos  tomar para que a indústria naval possa ser preservada com esse projeto de Libra” destacou. A Petrobras havia apresentado pedido de isenção [waiver no jargão do setor] total do cumprimento das regras de conteúdo local para o projeto de Libra. A  ANP atendeu parcialmente o pedido. Para alguns itens a agência reguladora alterou os percentuais exigidos para outros o negou completamente e para o  item que trata da construção do casco da plataforma concedeu a isenção total. Para o vice-presidente do Sinaval “não é uma decisão técnica é uma decisão política”. Isso porque segundo ele a decisão teve o objetivo de beneficiar o  consórcio em detrimento da indústria nacional. “O papel do órgão regulador deveria ser de mediar as partes. O problema é que aqui no Brasil a agência reguladora toma partido. O caso de Libra é claro em  relação a isso” afirmou Bacci. Em nota a Petrobras disse considerar que a decisão da ANP é . Afirmou ainda no mesmo comunicado que analisará junto aos seus parceiros...o impacto dos ajustes efetuados. Em audiência pública realizada em abril deste ano para discutir a flexibilização das regras de conteúdo local para o projeto de Libra a Petrobras alegou que o  cumprimento integral da exigência . Questionado se de fato os preços praticados pela indústria naval brasileira são mais caros que a concorrência estrangeira o vice-presidente do Sinaval  admitiu que sim mas atribui a diferença dos valores ao chamado “custo-Brasil”. “Eu estive na Petrobras e pedi a eles para me mostrarem [porque ficava 40% mais caro]. Um dos itens que eles consideram é a multa porque sabe que vai  fazer na China mais barato. Sem contar todos os impostos tanto do ponto de vista trabalhista como outros impostos. Então você tem um custo-Brasil que é  algo estratosférico” destacou.,0
05/10/2017,Petrobras vai analisar pedido do governo por ajuda a térmicas mas sem subsídio O Comitê de Monitoramento do Setor Elétrico (CMSE) vai pedir a estatal para voltar a fornecer combustível para térmicas que estão paradas.,A Petrobras vai avaliar o pleito de um comitê do governo federal por esforços da companhia para retomar o fornecimento de combustível a algumas  termelétricas que estão paradas diante de um cenário negativo de chuvas na região das hidrelétricas mas a demanda será analisada tecnicamente. Na quarta-feira o Comitê de Monitoramento do Setor Elétrico (CMSE) informou que enviará correspondência à Petrobras solicitando gestão da empresa no  sentido de viabilizar o fornecimento de combustível para algumas usinas. A petroleira estatal ressaltou no entanto que não vai flexibilizar algumas importantes exigências comerciais para atender às térmicas mesmo após o pedido  do comitê governamental e com o baixo nível dos reservatórios das usinas hídricas principal fonte de geração do país. A Petrobras receberá com todo o interesse e analisará tecnicamente todas as demandas... para reduzir o risco no mercado energético nacional. Fará isso  desde que sejam atendidas as condições comerciais definidas pela empresa e sem qualquer subsídio concedido ou impedimentos de natureza jurídica disse a  estatal em nota à Reuters. O comunicado do CMSE não listou as usinas que precisariam de esforços para ter a produção retomada. Questionada pela Reuters a Petrobras também não forneceu mais informações sobre as termelétricas relacionadas ao pleito do CMSE e nem os motivos que  levaram à interrupção no fornecimento a elas. No final de setembro no entanto o diretor-geral do Operador Nacional do Sistema Elétrico (ONS) Luiz Eduardo Barata disse que os esforços devem se  concentrar neste momento em usinas consideradas de baixo custo como a térmica Araucária da Copel a de Cuiabá da Âmbar do grupo J&F e a  Termonorte III de um produtor independente. No caso da usina da Âmbar o contrato com a Petrobras foi rescindido pela petroleira após executivos da J&F controladora do grupo de alimentos JBS  admitirem prática de corrupção em acordo de delação premiada com o Ministério Público Federal. A Petrobras não definiu o que seria subsídio. Atualmente além da disputa com a Âmbar Energia a Petrobras entrou em uma briga judicial com a Eletrobras para não precisar fornecer combustível a uma  usina da estatal no Amazonas devido a dívidas anteriores da empresa. A elétrica federal no entanto conseguiu assegurar o suprimento com uma decisão judicial que a Petrobras vem tentando derrubar.,0
05/10/2017,Petrobras vê como positiva flexibilização de conteúdo local em reserva do pré-sal Na véspera ANP flexibilizou as exigências para a construção do subsitema UEP do projeto Piloto de Libra uma das maiores reservas de pré-sal brasileiro.,A Petrobras disse considerar a na plataforma do projeto Piloto de Libra um sinal positivo para a competitividade da indústria de óleo e gás no Brasil segundo comunicado divulgado ao  mercado nesta quinta-feira (5). Como operadora do Consórcio Libra a estatal afirmou ainda em nota que analisará junto aos seus parceiros...o impacto dos ajustes efetuados. A exigência de conteúdo local é uma política do governo para tentar ampliar a participação da indústria nacional no setor com um percentual mínimo  estabelecido por lei. Nesta quarta-feira a Agência Nacional de Petróleo Gás e Biocombustíveis (ANP) flexibilizou as exigências de conteúdo local mínima do contrato para a  construção subsitema UEP do projeto Piloto de Libra uma das maiores reservas de pré-sal brasileiro. Segundo a ANP a diretoria do órgão negou o pedido de isenção para os itens Engenharia Básica e Engenharia de Detalhamento bem como de extensão dos  efeitos da isenção concedida no conteúdo local global. Além disso a agência manteve a exigência de compromissos mínimos de conteúdo local para alguns itens da execução de plantas instalação e integração de  módulos e ancoragem. O pedido de isenção do conteúdo local mínimo imposto por lei foi feito pela Petrobras operadora do consórcio para a construção de uma plataforma do tipo  FPSO. A estatal alegava que as regras encareciam o projeto em 40%. O pedido foi alvo de consulta pública iniciada em 9 de fevereiro pelo prazo de 30 dias e posteriormente prorrogada por mais 15. Para o processo de consulta  a agência apresentou 45 itens e subitens compõem o sistema FPSO. Segundo a ANP 27 entidades se manifestaram durante o período de consulta. Além do encarecimento no preço de execução do projeto o Consórcio de Libra alegou segundo a ANP a inexistência de fornecedor capaz de atender os  compromissos de conteúdo local do projeto bem como a incapacidade dos fornecedores locais em cumprirem o cronograma de extração do primeiro óleo até  2020. A ANP destacou que a decisão da diretoria acerca do pedido já foi comunicada ao Operador do Consórcio Libra e que deve ser submetida à apreciação  judicial conforme determinação do Tribunal Regional Federal da Primeira Região na Ação Declaratória de Nulidade proposta pelo Sindicato Nacional da  Indústria de Construção Naval (Sinaval).,1
10/10/2017,Petrobras eleva preço do botijão de gás em 129% a partir desta quarta Estatal estima que preço ao consumidor final pode subir cerca de R$ 309 por botijão em média.,A Petrobras anunciou nesta terça-feira (10) reajuste médio de 129% no preço do botijão de gás de até 13 kg a partir desta quarta-feira (11) devido à  variação das cotações do produto no mercado internacional. Caso o reajuste seja integralmente repassado pelas distribuidoras e revendedoras o preço ao consumidor final pode subir em média 51% ou cerca de R$  309 por botijão estimou a Petrobras. Como a lei brasileira garante liberdade de preços no mercado de combustíveis e derivados as revisões feitas nas refinarias podem ou não se refletir no  preço final ao consumidor. Isso dependerá de repasses feitos especialmente por distribuidoras e revendedores destacou a Petrobras. A estatal esclareceu que o reajuste atual não se aplica ao GLP destinado a uso industrial e comercial. O último reajuste ocorreu em 26 de setembro de 2017 quando o preço subiu em média 69%. No ano o preço médio do gás de cozinha no país acumula alta de 997% segundo pesquisa semanal da Agência Nacional de Petróleo Gás e Biocombustíveis  (ANP) subindo de R$ 5574 em janeiro para R$ 6129 na semana encerrada em 24 de setembro. Em nota o Sindigás que representa as empresas distribuidoras estimou que o reajuste oscilará de 78% a 154% de acordo com o polo de suprimento. A  correção aplicada não repassa integralmente a variação de preços do mercado internacional. Com isso o Sindigás calcula que o preço do produto destinado a  embalagens de até 13 quilos ficará 608% abaixo da paridade de importação o que inibe investimentos privados em infraestrutura no setor de  abastecimento afirmou. Pela  o preço do Gás Liquefeito de Petróleo (GLP) será revisado todos os meses. Segundo a estatal o preço final às distribuidoras será formado pela média mensal dos preços do butano e do propano no mercado europeu convertida em  reais pela média diária das cotações de venda do dólar mais uma margem de 5%. Na composição de preços ao consumidor a Petrobras responde por cerca de 25% do valor final enquanto outros 20% são tributos. Os outros cerca de 55%  correspondem a custos de distribuição e revenda.,0
11/10/2017,Cade vê como complexa compra de ativos da Petrobras por mexicana e pede estudos Venda da Petroquímica Suape e da Citepe para os mexicanos da Petrotemex e sua subsidiária Dak Americas Exterior foi aprovada em 28 de dezembro pela  Petrobras por US$ 385 milhões.,O Conselho Administrativo de Defesa Econômica (Cade) considerou complexa a compra pelo grupo mexicano Petrotemex da Companhia Petroquímica de  Pernambuco (PSuape) e da Companhia Integrada Têxtil de Pernambuco (Citepe) ativos da Petrobras. A Superintendência-Geral do Cade determinou a elaboração de estudo econômico quantitativo sobre os impactos da operação sobre a concorrência solicitou  dados de concorrentes e facultou às empresas apresentarem dados sobre as eficiências geradas pela transação de acordo com despacho publicado no  Diário Oficial das União desta quarta-feira. A venda da Petroquímica Suape e da Citepe para os mexicanos da Petrotemex e sua subsidiária Dak Americas Exterior foi aprovada em 28 de dezembro pela  Petrobras por US$ 385 milhões em um negócio que faz parte do plano de desinvestimentos e parcerias da petroleira. Em comunicado nesta quarta-feira a Petrobras disse que continuará colaborando com o Cade com vistas a obter a aprovação da operação dentro do prazo  legal e manterá o mercado informado. Uma vez que o processo referente à transação foi considerado complexo o Cade ainda poderá requerer um aumento do prazo para análise para até 330   dias ante 240 dias acrescentou a estatal no comunicado.,-1
