,data,sentimento,titulo
0,03/09/2017,1,Petrobras prorroga acordo coletivo de trabalho até novembroAcordo valerá até início da reforma trabalhista que flexibiliza os horários de trabalho e algumas restrições reduzindo os custos para as empresas.
1,03/09/2017,1,Petrobras assina acordo com banco de desenvolvimento chinêsAcordo deve permitir à estatal buscar opções de financiamento na China.
2,04/09/2017,-1,Petrobras faz novo reajuste e gasolina já sobe mais de 10% em setembroFuração Harvey que afetou produção de petróleo nos EUA é um dos motivos para a alta de preços; valor médio cobrado do consumidor final atingiu R$ 3778 na semana passada recorde do ano.
3,05/09/2017,-1,Petrobras inicia processo de venda de fatia de 90% na Transportadora Associada de GásA Petrobras tem um plano de desinvestimento que prevê levantar US$ 21 bilhões com venda de ativos em 2017 e 2018.
4,05/09/2017,1,Aprovados em concurso da Petrobras serão chamados imediatamente diz gerente de RHPrimeiro concurso em dois anos oferece 954 vagas; empresa já havia anunciado que processos seletivos voltarão a ser feitos com regularidade.
5,06/09/2017,0,Petrobras anuncia reajuste médio de 122% no gás de cozinha a partir desta quartaSe reajuste for integralmente repassado ao consumidor empresa estima que o preço do botijão pode ser reajustado em média em 42% ou cerca de R$ 244 por unidade.
6,12/09/2017,-1,Petrobras inicia processo para vender ativos de fertilizantesVendas são da subsidiária integral Araucária Nitrogenados (Ansa) e da Unidade de Fertilizantes-III (UFN-III).
7,12/09/2017,-1,Petrobras pagará R$ 128 bilhões para cobrir rombo do Petros em 18 anosDéficit do fundo de pensão é de R$ 277 bilhões; BR Distribuidora também terá de desembolsar R$ 900 milhões.
8,13/09/2017,1,Funcionários da Petrobras terão que contribuir com até R$ 36 mil mensais para cobrir rombo do PetrosValor do déficit do fundo de pensão da Petrobras é de mais de R$ 27 bilhões; estatal vai contribuir com R$ 12 bilhões em 18 anos.
9,14/09/2017,-1,Petrobras propõe reajuste salarial de 173% e corte na remuneração de hora extraData-base da categoria é 1º de setembro; o acordo coletivo vigente foi prorrogado até 10 de novembro véspera da data em que entrará em vigor a nova legislação trabalhista.
10,18/09/2017,-1,Petrobras busca levantar US$ 2 bilhões para substituir dívida cara Iniciativa é parte de plano da estatal de cortar US$ 85 bilhões de dívida líquida; Petrobras é umas mais petroleiras mais endividadas do mundo.
11,19/09/2017,-1,Eletrobras vence Petrobras na Justiça e libera operação de termelétrica no AmazonasPetrobras se recusou a fornecer combustível para a usina apontando inadimplência da Eletrobras.
12,20/09/2017,-1,Governo vai atuar junto à Petrobras para acionar térmicas de baixo custo diz ONSObjetivo é evitar o acionamento de térmicas mais caras que teriam impacto maior sobre os custos da energia.
13,20/09/2017,1,Petrobras pode ser credora do governo em US$ 12 bilhões por cessão onerosa diz ministroPresidente da estatal diz que quer concluir a renegociação com o governo o mais rápido possível.
14,21/09/2017,-1,Petrobras inicia mediação extrajudicial com Sete BrasilSete Brasil foi criada para ser fornecedora de sondas para a Petrobras; negócios entre empresas foram alvo de investigação da Operação Lava Jato.
15,21/09/2017,-1,Bovespa fecha em queda com pressão de Vale e Petrobras Ibovespa caiu 053% a 75.604 pontos apesar de dados econômicos favoráveis.
16,22/09/2017,-1,Refinaria de Pasadena retomará operações até o fim da semana diz PetrobrasA refinaria havia sido fechada no início de setembro após a passagem do furacão Harvey pela Costa do Golfo dos Estados Unidos.
17,25/09/2017,-1,Investidores aceitam trocar US$ 62 bi em dívida da Petrobras por novos títulosDetentores de US$ 622 bilhões em títulos com vencimento entre 2019 e 2021 aceitaram trocá-los por novos títulos de sete e dez anos ajudando a companhia a reduzir custos de sua dívida.
18,25/09/2017,-1,Petrobras eleva em 69% preço do gás de cozinha 2ª alta do mêsReajuste passa a valer já na terça-feira; estatal diz que a elevação reflete preços internacionais.
19,26/09/2017,0,Petrobras vai participar de leilões com estratégia de recompor portfólio de exploração diz presidente No final de maio a Petrobras anunciou que exercerá direito de preferência em 3 dos 8 prospectos que serão ofertados nos dois leilões do pré-sal; 1º leilão ocorre nesta quarta-feira (27).
20,27/09/2017,0,Petrobras e Exxon pagam R$ 34 bilhões por blocos na franja do pré-salPedro Parente presidente da Petrobras disse que a estatal fez a oferta bilionária pelas áreas justamente porque há indícios de pré-sal nesses blocos.
21,28/09/2017,1,Conselho da Petrobras aprova registro de IPO da BR DistribuidoraOferta pública de ações ainda depende da aprovação interna da Petrobras e da BR e do aval de órgãos reguladores.
